FLYBASE	FLYBASECG	SYMBOL	GENENAME	RhythmicityChange	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0030087	CG7766	CG7766	uncharacterized protein	LOSS	57.9717453	58.52718041	55.51124437	47.52277233	50.09834461	56.15872073	53.9133644	59.42550909	58.29757362	50.74810813	49.46259038	53.94849327	52.09899825	55.63999933	50.62098508	44.49471669	47.18620874	52.38808119	55.32910126	54.65724073	56.85369019	45.93888237	46.20945798	50.37199899
FBgn0037167	CG11425	CG11425	uncharacterized protein	LOSS	19.77720198	19.38483052	11.66659073	8.764454074	8.624480234	8.815693348	37.46031518	23.3585734	13.43249153	11.52139945	7.724853	10.04214856	34.87633314	15.33494264	11.42385585	14.8594279	14.82877167	18.48430391	59.24076257	36.09425839	48.11364585	21.30547422	15.89377048	13.69402776
FBgn0033982	CG17453	Cyp317a1	Cyp317a1	LOSS	3.222694098	3.188755273	2.250312184	2.346360857	2.060634734	2.401224437	2.815424564	3.442887505	2.371712765	2.239099542	1.862129045	2.313028708	2.830036125	2.44129122	1.980312431	2.209000647	2.25017943	1.907689571	2.792970465	2.643971592	1.934180355	2.193572735	1.791145628	1.804551211
FBgn0051235	CG31235	CG31235	uncharacterized protein	LOSS	2.703315051	2.095200831	1.963390979	1.93767255	2.420729616	2.511237834	1.712071158	1.96503126	2.002153554	2.518289887	2.720238532	2.107726929	2.470437257	2.191584482	2.698380812	1.857108391	2.614667878	2.148027549	2.510026555	2.891505753	2.399711299	2.441253038	2.356860476	2.529141886
FBgn0037602	CG8021	SLIRP2	SRA stem-loop interacting RNA binding protein 2	LOSS	7.983714005	6.615700973	5.042669102	6.129094578	7.462054624	9.335135331	6.24864215	5.061240041	5.266574516	8.012792093	7.521369067	7.788548267	7.065162773	5.999061621	7.531153747	6.114702871	6.666696629	6.817197082	7.422094106	6.232930623	4.978259111	7.196520824	6.852056165	5.555544595
FBgn0035171	CG12502	CG12502	uncharacterized protein	LOSS	19.18719692	19.81118136	17.00696295	18.08819138	17.73163337	17.68879088	18.92412166	19.85213514	18.13594814	18.83190623	16.39509757	14.5952647	20.01090529	21.36174642	16.22393883	16.3247396	15.33536147	14.06361835	19.58168303	17.64840098	15.72149453	17.8679313	16.84716693	16.00933975
FBgn0000287	CG4881	salr	spalt-related	LOSS	6.001044627	6.030873063	5.549537633	5.394723989	6.336995329	6.626344795	7.044521306	5.981472576	5.493150111	5.751063349	5.598229993	6.558059803	5.390314371	5.691203088	4.919751021	3.699628874	4.119203759	4.687028232	4.303251713	4.205124452	4.686779529	4.17077471	4.278345874	4.019525443
FBgn0262983	CG43291	CG43291	uncharacterized protein	LOSS	5.443516804	5.259245599	4.395054656	4.083217604	4.639822884	4.984502315	5.131992027	5.718754304	4.260448511	4.194253985	4.617052112	4.584345852	4.973655508	4.766907007	5.109164251	4.63584991	3.8794002	4.195603961	5.227166555	5.671958147	3.96698535	5.022641429	4.233778865	5.341539139
FBgn0037046	CG10581	CG10581	uncharacterized protein	LOSS	7.74031923	8.086482876	6.920689954	6.174474455	5.976423533	7.621108735	9.294702422	7.2206462	4.904703126	4.855933478	6.960790027	9.373611228	8.851274744	8.247270026	7.283437905	4.922412614	7.649908641	8.015335922	10.88658096	8.64735305	8.250861115	7.978620204	10.23453495	7.661230195
FBgn0036381	CG8745	CG8745	uncharacterized protein	LOSS	116.2758384	54.4221632	47.18772499	32.30988008	37.7528558	43.26046846	120.825375	65.41800051	45.6335275	39.60067271	44.97416413	62.77998585	97.5245194	40.52023553	41.26548505	54.10776669	51.57073894	58.62817556	108.9580701	48.06418836	69.47421103	54.18071086	56.5302771	58.21208601
FBgn0037410	CG1148	Osi2	Osiris 2	LOSS	14.4039678	15.3365502	10.21448097	6.637820266	9.869925277	11.42679649	16.49612266	15.0215723	10.72925831	4.831242291	7.687249836	10.05142798	4.597963075	4.195840672	3.048641224	4.517827906	4.757547381	4.604872971	6.4708717	6.05578624	4.41380425	5.652439727	4.446263501	5.303391967
FBgn0053138	CG33138	AGBE	"1,4-Alpha-Glucan Branching Enzyme"	LOSS	59.01802545	58.3042796	39.64595414	39.1890685	32.09647578	31.63923458	52.20407921	47.2505765	41.96305416	40.34357796	32.55413406	30.84766702	45.74200992	44.3378413	28.0278875	39.06995108	34.7091507	29.25053166	54.01269849	53.218886	39.6602254	41.06591008	38.13916295	33.20149224
FBgn0034390	CG15093	CG15093	uncharacterized protein	LOSS	73.58169956	84.71038217	66.97828832	62.52810154	54.43160619	64.77030995	77.39430015	71.58567934	59.92319875	49.27129543	62.41085644	65.92871192	84.41298622	81.98717549	58.38302511	82.09714474	87.57436668	90.71468957	100.6830942	112.690056	108.5375136	85.48190147	73.1781895	67.41031915
FBgn0039629	CG11842	CG11842	uncharacterized protein	LOSS	29.71536946	28.72135255	24.42995374	21.78540153	19.11923453	26.14262976	24.9947756	26.89355673	20.15889742	12.87755101	22.2041848	25.88215936	26.32107664	27.27318513	27.68953849	25.76885334	30.59558857	33.83394831	30.48502338	29.80907051	34.09958812	26.01451241	32.39616702	29.09774137
FBgn0014464	CG33962	Cp7Fa	Chorion protein a at 7F	LOSS	2.128267521	2.201026874	2.07167279	1.309889153	1.540087169	1.684152726	2.020822208	1.837854255	1.698381061	0.982149933	1.194099252	1.712100267	1.29081248	1.814126411	1.762821253	1.275171436	1.436414514	1.397976362	1.388755819	1.321653392	1.77494496	1.178796724	1.297038258	1.356928012
FBgn0014869	CG1721	Pglym78	Phosphoglyceromutase 78	LOSS	236.4506048	238.6655577	190.2355329	205.1709015	195.7396772	168.2847254	212.325894	225.8864646	221.9170384	199.9266726	181.0623943	155.2541196	208.4059144	214.0753337	143.3628823	195.4781758	192.6609933	149.2662108	247.1719742	256.8197709	195.2955065	218.5060327	210.0158927	149.4043238
FBgn0036501	CG7272	CG7272	uncharacterized protein	LOSS	62.51543114	56.36677215	61.82352282	48.48785585	50.82801585	59.26391431	61.26611262	61.61155811	54.16368984	49.73218345	54.56781677	57.25385323	60.45684446	61.16831373	68.33797673	57.44091086	61.63715679	62.54248859	69.71622759	65.86935102	55.5664371	63.19315068	59.00654606	60.61116017
FBgn0037715	CG9399	CG9399	uncharacterized protein	LOSS	59.49290937	55.2502111	51.88672474	46.92034228	53.20392025	54.57146258	57.90785904	56.45722763	47.76101419	48.7578566	56.26224106	51.74094503	49.04493946	54.40891585	48.90798899	48.39869278	48.43588131	52.79540407	59.35043336	62.26754009	51.42585347	56.766072	52.81503586	45.27379886
FBgn0035480	CG14984	CG14984	uncharacterized protein	LOSS	35.62528383	34.88158938	29.46766474	27.80934526	25.60323209	25.09866034	35.66619049	34.7480868	34.13554909	30.25488825	27.61901885	22.5197799	30.73955568	35.68251039	26.13066039	31.70418842	26.7661892	19.25129021	38.68970313	38.75937015	29.91049371	30.45233396	25.1764928	22.32384217
FBgn0033792	CG13325	CG13325	uncharacterized protein	LOSS	1.559991997	1.747602721	1.149206507	1.028712275	1.100591489	1.144235278	1.52664387	1.453493888	1.492087479	0.992557203	1.0781715	1.155232121	1.855118765	1.285277504	0.921079796	1.135924833	1.111509003	0.83021311	1.269734487	1.109128574	0.91624529	0.985379344	1.134007467	1.286632535
FBgn0038631	CG7695	CG7695	uncharacterized protein	LOSS	44.20265252	48.69540021	41.24415922	34.7971878	31.43323212	34.85914931	41.07653169	45.36173875	37.58514082	33.95115434	33.87465084	35.2330443	47.37295289	58.92845843	44.67085719	46.41622839	49.86623112	42.81980187	52.25454133	52.68710831	45.37743997	52.71415652	43.53249935	48.0382866
FBgn0053113	CG33113	Rtnl1	Reticulon-like1	LOSS	141.9142597	147.5085796	139.0107972	124.8618099	118.105473	133.6255389	142.4281856	143.243012	133.9988374	122.5724392	118.2448243	139.132756	142.7638566	135.2541211	144.2331284	121.0157499	116.4174383	130.5627257	132.1678999	132.1308697	121.0134981	122.3927426	113.5825783	144.1350718
FBgn0036875	CG9449	CG9449	uncharacterized protein	LOSS	7.923484087	9.413753326	7.518161207	6.624994048	6.126301622	6.181689144	7.24590019	7.048143868	7.737475726	6.851579977	6.419830379	5.448715865	7.607538906	9.029236989	5.988408313	6.644204106	7.781160512	6.013594153	10.16460607	9.356381785	7.095054773	7.748981008	7.999751615	7.730624479
FBgn0001092	CG8893	Gapdh2	Glyceraldehyde 3 phosphate dehydrogenase 2	LOSS	436.6529453	469.8473204	434.3570541	403.8850825	388.6460065	358.6244252	433.894991	453.5675848	473.4526094	481.1488771	389.1298607	339.9791207	386.1906616	423.1255775	344.5124455	398.2410593	388.0154719	323.6680452	446.5622946	498.0048788	434.6271582	411.5464086	378.7423912	359.0072148
FBgn0030589	CG9519	CG9519	uncharacterized protein	LOSS	26.34933774	27.35735274	26.51731159	23.80639356	21.15838563	17.74187119	23.95494874	27.39374068	27.513148	25.89013814	19.19770289	17.4386662	20.00588653	24.06984082	18.72297646	24.37963004	20.0806259	15.11581064	22.29182541	25.36879415	21.77049799	22.86463082	20.56912526	18.69286751
FBgn0259714	CG42368	DIP-epsilon	Dpr-interacting protein epsilon	LOSS	9.197253665	11.82734141	9.442190766	8.591209494	8.06786291	9.120760135	9.850152299	10.58228203	9.496901731	8.803597064	7.782826183	9.872341547	8.889395278	9.283203997	7.716290779	6.555909035	8.045085288	6.950655437	8.087221451	9.390731961	6.842059321	6.095919125	7.436698027	6.452300389
FBgn0261560	CG8846	Thor	thor	LOSS	403.0098653	441.576778	501.079723	274.1435036	275.9846668	362.3641489	382.8776162	428.5886878	361.0146729	291.2823167	261.4559885	364.5865866	472.4026433	493.784635	475.9857977	267.5589169	311.6065723	450.4782763	457.9270561	499.9722992	499.400581	267.2978319	288.1186645	430.1042438
FBgn0033446	CG1648	CG1648	uncharacterized protein	LOSS	283.3487245	294.3698368	257.8240916	264.3337443	256.6567569	240.4378531	247.1133403	274.5454627	280.5425714	270.0205757	249.8209966	230.5225943	303.6631192	330.6759261	247.1227989	290.6123199	297.580455	235.8909242	309.6984678	334.4696641	268.4144555	306.6150569	295.1764544	254.30015
FBgn0001108	CG9206	DCTN1-p150	"Dynactin 1, p150 subunit"	LOSS	20.25089943	22.04841648	19.99335178	20.61536245	20.763864	18.40781574	18.71667965	21.06645019	21.09861129	21.16190305	20.83233264	17.39446835	18.98807169	20.36165018	15.99134077	16.4644838	17.43848758	16.21743763	18.00038421	18.38053053	16.17206341	18.2088421	17.55423809	16.28906338
FBgn0035432	CG17723	ZnT63C	Zinc transporter 63C	LOSS	29.1361183	31.10908339	28.57814364	29.20628281	28.91720121	26.78623056	28.5856294	30.66020834	30.56180941	31.47064991	26.98172656	24.94899152	27.77435426	29.59617858	26.35877098	26.46443224	26.66005277	24.15847272	28.85232744	30.4655551	25.60835972	28.06038785	29.49580989	26.71558913
FBgn0051809	CG31809	CG31809	uncharacterized protein	LOSS	3.468818023	4.591085899	3.036207028	2.961655739	2.926820827	1.931794744	3.262176575	4.124742424	3.53023843	3.538578061	2.823324076	2.496777345	2.371146877	1.692382439	1.360982328	1.714923888	1.838573285	1.880079016	2.371805217	2.433212981	1.809886201	2.415232094	1.970448714	1.964274995
FBgn0000406	CG13279	Cyt-b5-r	Cytochrome b5-related	LOSS	608.6706597	551.3465305	467.0842641	388.8080973	320.5504407	436.8239727	576.0852979	460.7665678	414.2290238	419.1110445	336.4755946	447.5454289	480.1726371	449.5917229	370.036467	494.5665244	419.8202187	537.1691514	551.0116629	504.0809501	509.9660503	446.6874334	392.289271	492.2553037
FBgn0032262	CG7384	CG7384	uncharacterized protein	LOSS	10.28538175	12.7199532	11.03716024	9.78907716	7.343022586	8.881668359	10.34480022	10.97434698	10.38582004	8.16247039	9.905270486	8.430594075	13.34039707	12.12169019	11.38055815	13.90715711	12.77990622	12.98011209	13.43967871	13.60948221	12.43939692	12.57343736	12.59726503	11.52073492
FBgn0039821	CG15556	CG15556	uncharacterized protein	LOSS	6.710014939	8.904420475	7.355921712	7.313742475	6.173676168	6.262688635	7.000727847	9.622064289	8.425174186	8.298842225	6.723486414	5.985297257	5.636549513	6.573391185	5.931284973	5.819941388	6.367612352	3.807106656	5.296280546	5.93381689	5.379649749	6.467874657	5.183862975	4.507947941
FBgn0262531	CG43085	CG43085	uncharacterized protein	LOSS	1.146651947	1.838963278	0.760097032	1.053197308	1.094184484	0.541647395	1.033971707	2.146497979	1.470601539	1.538870135	0.678530885	0.370620196	2.852047507	1.505372639	0.597286679	6.339963567	2.422076107	1.991444412	6.559101246	3.403853305	1.159922279	3.925775406	3.224341085	1.958237827
FBgn0265048	CG31150	cv-d	crossveinless d	LOSS	32.76947775	37.81194507	37.34989279	32.18987115	30.83518952	32.59635812	33.57240177	37.76680938	35.81567637	33.53558361	32.32294088	32.11323827	31.7612247	34.6304138	32.26026549	32.89905713	29.93609375	31.45217722	31.37627255	34.88880361	33.56646734	30.47599143	31.57732175	30.39641025
FBgn0034335	CG5164	GstE1	Glutathione S transferase E1	LOSS	36.27422691	46.94492419	50.37026746	26.34353272	26.90051236	33.61623272	37.45230629	47.33905828	45.74319948	36.743022	29.08421098	33.87510218	31.15106151	32.93393503	48.87616303	27.50986476	32.61031217	36.66191788	36.2007313	44.94865338	44.7108164	33.92824231	35.31507759	36.47642119
FBgn0266441	CG45071	CG45071	uncharacterized protein	LOSS	5.783117029	8.311053816	7.674008035	7.351075076	6.598476012	5.617613906	5.666779263	7.520136714	8.69828707	7.142061448	6.111364154	5.710083139	5.984493986	7.38171065	8.651005994	5.371244086	5.835208718	5.788714394	6.123838147	6.468864684	6.411226544	5.493709497	6.227294092	4.786223785
FBgn0267923	CR46204	lncRNA:CR46204	long non-coding RNA:CR46204	LOSS	0.568388362	0.928136728	0.690526649	0.306666653	0.323579312	0.42057379	0.652315308	0.723790867	0.7612535	0.536520826	0.264997998	0.467636059	0.632189529	0.557440945	0.25121206	0.561766301	0.330388531	0.492693602	0.666682019	0.740494355	0.365887699	0.346738767	0.479975622	0.308854803
FBgn0042119	CG18778	Cpr65Au	Cuticular protein 65Au	LOSS	368.8316386	418.3772403	390.3704027	384.5832064	324.4017121	253.2577824	364.0333433	361.6876534	451.7347553	391.1836676	347.1429981	265.9997672	31.38153505	65.16815144	32.66290089	64.70740382	71.56287821	36.6651151	59.91899709	59.16560453	36.6993014	46.65642265	30.64887246	44.41402523
FBgn0261999	CG42817	Ca-Ma2d	Ca[2+] channel Muscle-specific alpha2/delta subunit	LOSS	10.86328625	14.29615155	13.46477792	12.03389699	9.467835182	8.758753761	10.55739175	13.88451324	13.03967005	13.45910944	8.07043158	9.001019508	10.05878095	10.54274298	9.296241607	9.317593549	8.295403967	6.202200695	9.369086783	8.711332016	7.650917528	8.468791938	7.593717399	7.576307019
FBgn0034143	CG8303	CG8303	uncharacterized protein	LOSS	6.646579261	8.410496284	7.124257149	7.335506138	6.03144666	4.827146708	5.811089391	6.817755357	7.792733289	7.375781101	5.969223023	5.02882644	6.778274524	7.190059759	4.156098037	5.818021409	7.635329903	5.848495047	7.378494753	7.794618175	5.932246425	7.047711376	6.541709991	5.748468817
FBgn0038201	CG9918	PK1-R	Pyrokinin 1 receptor	LOSS	1.925438204	2.969427885	1.703851905	1.923787954	1.185452733	1.246621648	1.964216953	2.161864203	2.131072275	2.038661158	1.104850791	1.329891755	1.262975526	1.58528433	1.765018067	1.285586078	1.025937277	0.649063018	1.69597214	1.22635534	1.032882622	1.547477528	1.11836904	1.209009174
FBgn0035589	CG4618	CHMP2B	Charged multivesicular body protein 2b	LOSS	27.14197962	34.57028058	28.59323237	29.56054319	26.19312086	26.51016787	25.41412222	29.74399522	32.62093669	32.660328	28.04239093	26.60369082	26.29712215	28.12815377	23.52059833	23.01028935	25.4838238	21.1399554	26.84603061	29.52041371	25.61220314	24.37585119	26.33680103	27.25540682
FBgn0052944	CG32944	CG32944	uncharacterized protein	LOSS	11.77149793	12.7267211	11.69837931	11.67423605	11.43476633	11.13113938	10.69904572	13.39138486	11.41989642	11.71671359	10.44108163	10.70753199	12.39639809	14.58369556	10.12425482	10.73341304	11.44992023	8.97937581	12.61038	12.76786021	11.03761034	10.78299841	10.94469676	10.79792383
FBgn0029937	CG8300	CG8300	uncharacterized protein	LOSS	32.58573893	42.63584313	43.01291584	39.61783576	35.48183508	29.07365108	33.38940755	47.06689102	43.66971546	39.47033796	33.71045686	26.8348835	33.87744492	38.67319598	29.42870286	32.3500438	33.11695027	26.41235115	37.40255294	42.27244755	37.49932979	34.77240752	39.99949942	32.12244375
FBgn0037439	CG10286	CG10286	uncharacterized protein	LOSS	5.587386599	6.991200395	6.981189111	6.492833535	6.428953802	5.569168808	5.381770414	6.465663187	6.671463669	6.940278326	6.45138351	6.052467684	6.883050256	8.149529963	6.551795831	5.788078513	7.533628421	7.320061767	6.305600571	8.104798499	7.494710271	7.098115851	6.912090989	6.679448174
FBgn0030468	CG1622	CG1622	uncharacterized protein	LOSS	10.29439047	11.10018249	11.56414212	10.7148249	10.57585026	9.72736077	9.355704342	11.7559866	13.12634829	11.29224299	10.76538298	9.909154001	9.757439158	11.274751	13.55224941	9.506469141	9.595829389	10.02562434	10.79191375	11.89672931	11.63544859	11.60314204	10.01559884	11.66334976
FBgn0000529	CG10604	bsh	brain-specific homeobox	LOSS	2.719593982	2.8746888	3.010634033	2.834202436	2.737075702	2.51991531	2.735305028	3.072154079	3.711512814	2.881456635	2.586405181	2.221981464	2.102448324	2.813627863	3.108707624	2.111928579	1.921337803	2.54684881	2.355107822	2.575058078	2.7854565	2.374313649	2.663698849	3.135029753
FBgn0038088	CG10126	CG10126	uncharacterized protein	LOSS	56.39870244	79.36970977	78.58896583	101.987671	72.65915001	53.0609955	52.05190375	75.70719259	76.03347705	94.89587363	75.35981134	53.59849316	55.66450185	56.28684265	49.1394849	61.86974671	59.29036287	46.96523675	50.05089052	58.20160699	42.16447944	59.09383818	62.31199731	46.639949
FBgn0005677	CG4952	dac	dachshund	LOSS	8.011841676	8.847271725	9.049756155	8.148025865	8.106109921	7.253446924	8.180223913	8.773530807	9.155985252	8.077930206	7.729520163	7.484539219	10.97346065	12.02121229	11.15614505	9.578185342	9.805056397	8.611808477	10.2790704	10.08327165	9.874274939	10.74504901	8.328349154	10.3866593
FBgn0038341	NA	NA	NA	LOSS	3.482023363	4.058407076	4.280497478	3.75622765	3.850143992	3.375810595	3.712162276	4.52058562	4.106471796	3.954819384	3.742718707	3.65365955	4.048819648	4.627515577	4.692151508	3.807546815	4.507259951	3.867479377	3.951513866	4.244215819	4.301443348	3.74313181	4.084896651	3.808165759
FBgn0265464	CG10961	Traf6	TNF-receptor-associated factor 6	LOSS	9.813169102	11.31708363	11.44878434	10.27871347	9.75919693	9.894958191	10.19318259	11.24368094	10.81067686	10.24126325	10.17596991	10.46696306	9.878693981	9.578333681	10.10969357	9.053174241	9.103682371	9.106304925	10.05724937	9.29163711	9.430401108	9.474411168	9.502964772	9.363983537
FBgn0030691	CG8959	Efhc1.1	EF-hand domain containing 1.1	LOSS	0.591841525	1.15348578	0.822104792	0.944227304	0.765159489	0.330211645	0.760132535	1.242238956	1.318444431	1.170523728	0.466962685	0.556742952	1.185875588	1.968094985	0.123757198	0.514752674	0.839245291	0.618937914	0.662531596	0.615595615	0.878723848	0.603961907	0.624917738	0.707517678
FBgn0267189	CR45629	asRNA:CR45629	antisense RNA:CR45629	LOSS	1.380100659	1.990683258	2.356644347	2.229710091	1.382798823	0.936093498	1.608250647	2.577567853	4.024110903	1.50123348	1.633348156	0.878933667	1.645222192	1.139629827	2.012889854	1.880531206	1.654567565	1.886176782	1.678307801	1.878899836	1.856776715	1.808111605	1.546502029	1.704837795
FBgn0033785	CG13320	Sans	Scaffold protein containing ankyrin repeats and SAM domain	LOSS	0.5129193	1.151644719	1.123379524	0.862503315	0.770883123	0.469668328	0.821854071	1.066119251	0.873730702	1.090516633	0.607039629	0.43841051	0.555134649	0.696803891	0.332487843	0.914526049	0.512438249	0.464619119	0.616142345	0.496160371	0.817197212	0.491700794	0.385696196	0.766462509
FBgn0265050	CR44165	asRNA:CR44165	antisense RNA:CR44165	LOSS	0.795045782	1.428076934	1.564204239	1.179631084	0.796600136	1.011118079	1.351113746	1.544754634	1.281111749	1.022069158	0.97230066	1.558977114	1.459076972	1.556577783	2.125899944	1.002659143	1.429740239	1.212932272	0.990417765	1.70904169	1.125945711	1.028910916	0.879183522	1.378135763
FBgn0016700	NA	NA	NA	LOSS	169.6132999	187.6586035	177.4987354	178.0866292	179.6772304	161.628996	164.3950424	172.1262147	186.0507219	191.6160676	177.115421	167.0997628	167.4790209	182.2442205	165.8521562	167.3770362	165.6500951	159.0679319	170.5394805	184.1547684	157.6129108	166.1534389	176.5003419	192.4368128
FBgn0067102	CG6437	GlcT	Glucosylceramide synthase	LOSS	11.80364229	16.55960473	16.59698073	15.63390031	12.89641206	11.43807515	10.74954922	16.82014057	15.86547814	16.8395982	13.4585193	11.4496355	9.794718041	10.26076277	10.0308418	10.09091173	11.02174047	8.866641225	9.811359857	11.19105911	11.03890411	10.28040747	11.43551987	10.20442982
FBgn0036585	CG13071	CG13071	uncharacterized protein	LOSS	17.1107042	18.56574799	23.2340296	18.59531663	15.79067043	22.56265727	20.00493346	22.88946925	15.96253432	15.80729045	18.91823619	22.07353541	0.317831549	0	0.182427806	0.293723523	0.359887507	0.322010461	0.300499531	0.322643969	0.398556244	0.215827192	0.298760336	0.672862249
FBgn0039722	CG15520	Capa	Capability	LOSS	115.4959576	170.7469586	161.9445895	193.1631473	139.1055823	89.1857356	127.9947683	174.7626896	224.8618929	212.9222322	121.5201627	86.38004323	174.4579659	216.8348732	139.5507091	223.342859	169.9000442	126.1459379	202.9122722	221.3240137	171.081902	250.2781802	190.4196647	153.0280446
FBgn0032879	CG9317	CarT	Carcinine transporter	LOSS	31.52471545	44.07845159	41.17420619	54.83791494	33.92104715	24.01597401	28.7518627	44.50123294	49.1219055	49.36560692	30.63288467	22.72378237	19.09895086	20.02366893	15.94142812	20.74916675	16.51367292	11.17060204	18.91896452	21.4925258	16.4540699	20.49357458	18.14137179	15.92638007
FBgn0035627	CG10583	Sse	Separase	LOSS	1.211851364	1.868927928	1.982704555	2.064435676	1.836321267	1.141629875	1.525511064	1.744146481	2.00439891	2.663064194	1.628996562	1.060636197	0.253447666	0.699411563	0.363682442	0.624595359	0.520158953	0.385170069	0.658973248	0.804016321	0.381383724	0.645399641	0.575746071	0.617042808
FBgn0028343	CG8465	Ankle2	Ankyrin repeat and LEM domain containing 2	LOSS	14.27348811	16.22926068	15.86892579	18.37081699	16.07706984	13.77895214	14.77954752	16.56753747	17.91694889	19.70389013	14.95586448	11.82437897	13.23041336	15.72186383	11.06102709	15.19505696	13.91556207	11.37202043	14.26700085	15.98475489	13.88874732	15.55410498	15.25435128	11.63794419
FBgn0267330	CG5183	KdelR	KDEL receptor	LOSS	47.31658509	53.11650961	54.03380918	56.4628459	53.5957301	49.25106358	45.7858643	51.6362188	54.36370768	62.5349804	53.11805362	51.12551593	50.64079606	55.11874423	53.32659398	56.97238204	53.02538422	54.77509832	54.601763	57.56284396	57.24171603	57.93958837	52.77574531	56.02946296
