Chr	Start	End	Strand	Length
FBgn0000108	X;X;X;X;X;X;X;X;X;X;X;X;X	530501;531170;531627;560606;570862;571131;571427;572137;573853;574196;574942;575168;575471	530534;531189;531876;560776;571000;571352;572070;572289;574002;574878;575089;575362;579044	+;+;+;+;+;+;+;+;+;+;+;+;+	6383
FBgn0025640	X;X;X	623468;623796;624407	623734;624344;624765	+;+;+	1175
FBgn0025635	X;X;X	625542;626504;626899	626362;626820;628016	+;+;+	2256
FBgn0001341	X;X;X;X	629773;630273;630703;632044	630209;630644;631983;633633	+;+;+;+	3680
FBgn0003575	X;X;X;X;X;X;X	635890;636442;638333;638781;639720;641078;641297	636279;636587;638720;639016;641017;641202;643760	+;+;+;+;+;+;+	5047
FBgn0025634	X;X	644761;645990	645913;646386	+;+	1550
FBgn0025638	X;X	647304;647703	647637;648597	+;+	1229
FBgn0040383	X;X;X;X	750347;750794;756186;757805	750731;750855;756506;758719	+;+;+;+	1683
FBgn0040382	X;X	759594;760682	760528;761939	+;+	2193
FBgn0027343	X;X;X	769945;777734;781476	770447;778210;784222	+;+;+	3727
FBgn0025621	X	793147	797061	+	3915
FBgn0015799	X;X;X;X;X;X;X;X	797090;797762;798278;799316;799711;800128;800378;800597	797692;798142;799013;799647;800065;800316;800517;801479	-;-;-;-;-;-;-;-	3619
FBgn0025620	X;X;X	787855;788592;789472	788527;788903;790089	-;-;-	1603
FBgn0015288	X;X;X	762560;764302;765084	762991;764922;765130	-;-;-	1100
FBgn0025639	X;X;X;X	648483;653370;654865;655380	653238;654096;654938;656033	-;-;-;-	6211
FBgn0002579	X;X;X	628338;628751;629291	628686;628894;629483	-;-;-	686
FBgn0026879	X;X	624757;625166	625105;625203	-;-	387
FBgn0029529	X	620717	621215	-	499
FBgn0025633	X;X;X;X;X;X;X;X;X;X;X;X;X;X	585081;608440;610549;611411;611751;612092;612282;612496;613847;614573;614774;617275;619292;620039	585229;608514;611341;611685;612033;612211;612433;613774;614023;614713;615970;617582;619723;620195	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5538
FBgn0040339	X;X;X	928139;928384;928550	928327;928485;928860	+;+;+	602
FBgn0052815	X;X;X;X	932466;933425;934541;937941	933330;934474;934681;939424	+;+;+;+	3540
FBgn0040340	X;X;X	935232;935858;936330	935838;936260;937822	+;+;+	2503
FBgn0040347	X	941075	943229	+	2155
FBgn0040337	X;X	1026791;1027635	1027546;1028290	+;+	1412
FBgn0040398	X	1051525	1052631	+	1107
FBgn0040397	X;X;X;X;X;X;X;X	1073041;1076433;1077210;1081037;1088672;1102347;1119685;1134185	1076300;1077097;1077512;1082439;1088765;1102401;1119785;1134896	-;-;-;-;-;-;-;-	6593
FBgn0026143	X;X	1028291;1029417	1029364;1030556	-;-	2214
FBgn0040351	X;X;X;X;X	1013984;1015140;1015469;1016521;1026514	1015079;1015349;1016246;1016708;1026703	-;-;-;-;-	2462
FBgn0040349	X	946662	947500	-	839
FBgn0040348	X;X;X	942474;943302;944396	942796;944096;945773	-;-;-	2496
FBgn0040346	X;X;X	939170;939733;940152	939676;940086;940805	-;-;-	1515
FBgn0040364	X;X;X	1170828;1171270;1171816	1171171;1171698;1173797	+;+;+	2755
FBgn0040360	X;X;X	1184778;1186759;1187851	1185087;1187126;1188585	+;+;+	1413
FBgn0025642	X;X	1287290;1287966	1287934;1288945	+;+	1625
FBgn0004650	X;X;X;X;X;X;X	1322513;1322773;1324868;1325055;1325244;1327069;1327338	1322714;1324809;1324997;1325185;1327014;1327277;1329438	+;+;+;+;+;+;+	6581
FBgn0024362	X;X;X	1342106;1343290;1343779	1343214;1343535;1344770	+;+;+	2347
FBgn0024361	X;X;X	1346553;1347085;1347269	1346679;1347119;1348143	+;+;+	1037
FBgn0024364	X	1354014	1356473	+	2460
FBgn0024987	X;X;X;X;X;X	1370580;1371231;1371451;1371874;1372086;1372461	1370663;1371370;1371774;1372022;1372267;1375257	+;+;+;+;+;+	3676
FBgn0023169	X;X	1375536;1376696	1376187;1378896	+;+	2853
FBgn0052813	X;X;X;X;X;X	1380914;1384525;1385904;1386523;1388568;1390249	1381126;1384625;1386362;1386916;1390057;1392843	+;+;+;+;+;+	5252
FBgn0024985	X;X;X;X	1393054;1394224;1395083;1395246	1394158;1394714;1395193;1397337	+;+;+;+	3799
FBgn0027794	X;X	1457175;1458263	1458201;1460617	-;-	3382
FBgn0027795	X;X;X	1455215;1455750;1456023	1455695;1455949;1457054	-;-;-	1713
FBgn0024986	X;X	1378885;1380138	1379372;1380480	-;-	831
FBgn0024365	X;X;X;X;X;X;X	1349623;1351102;1351345;1351994;1352286;1352654;1353253	1351037;1351280;1351926;1352228;1352487;1353198;1353981	-;-;-;-;-;-;-	3887
FBgn0024360	X;X;X;X	1344872;1346175;1348222;1349144	1346120;1346299;1349077;1349357	-;-;-;-	2444
FBgn0024366	X;X;X;X	1329518;1333503;1337900;1341325	1333436;1333717;1338222;1341587	-;-;-;-	4720
FBgn0025641	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	1289713;1291405;1291626;1291844;1292052;1292321;1293080;1293318;1294564;1295010;1304104;1304766;1308076;1309859;1316075;1322200	1291344;1291568;1291787;1291986;1292257;1293016;1293257;1294286;1294687;1295936;1304360;1304845;1308472;1309900;1316161;1322362	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6227
FBgn0028550	X;X;X;X;X	1242740;1251172;1251340;1259959;1274426	1248008;1251261;1252096;1260008;1275284	-;-;-;-;-	7025
FBgn0026876	X;X;X	1236873;1237766;1238028	1237707;1237963;1239884	-;-;-	2890
FBgn0040366	X;X	1211989;1214943	1214792;1215156	-;-	3018
FBgn0026872	X;X;X;X;X;X	1466134;1467493;1467697;1468052;1468251;1468447	1466933;1467617;1467964;1468185;1468382;1468692	+;+;+;+;+;+	1705
FBgn0029580	X;X;X;X;X	1467493;1469805;1470015;1470157;1470402	1467617;1469953;1470097;1470339;1470614	+;+;+;+;+	753
FBgn0025381	X;X	1478552;1481008	1480859;1481420	+;+	2721
FBgn0025394	X;X;X;X;X;X;X	1483479;1510754;1512065;1514483;1514727;1514857;1515378	1483558;1511100;1513648;1514668;1514792;1515041;1517615	+;+;+;+;+;+;+	4686
FBgn0000482	X;X;X;X;X	1665052;1665474;1666187;1667674;1667888	1665411;1666132;1667612;1667825;1668451	+;+;+;+;+	3161
FBgn0001189	X;X;X;X	1669570;1670816;1671787;1672364	1669937;1671729;1672297;1673608	+;+;+;+	3038
FBgn0024897	X;X;X;X;X	1686624;1688481;1688649;1688902;1689180	1687317;1688574;1688769;1689123;1690187	+;+;+;+;+	2139
FBgn0025391	X;X;X;X;X;X;X	1735945;1745878;1746687;1748032;1749697;1749895;1753716	1737163;1746579;1746810;1748293;1749817;1751021;1754065	-;-;-;-;-;-;-	3905
FBgn0023130	X;X	1693615;1695532	1695474;1695889	-;-	2218
FBgn0023530	X;X	1668406;1668808	1668744;1669297	-;-	829
FBgn0025390	X;X;X;X;X;X;X;X;X;X;X	1523554;1552279;1552611;1554668;1557659;1557915;1584141;1604736;1618032;1664118;1668493	1524318;1552527;1554563;1557593;1557772;1558791;1584255;1604788;1618155;1664306;1668788	-;-;-;-;-;-;-;-;-;-;-	7661
FBgn0003517	X;X;X	1481797;1482673;1483111	1482480;1483023;1483413	-;-;-	1338
FBgn0025382	X;X;X	1473884;1474675;1476256	1474510;1474892;1476974	-;-;-	1564
FBgn0052808	X;X	1468693;1469161	1469098;1469817	-;-	1063
FBgn0027791	X	1464363	1465996	-	1634
FBgn0026873	X;X;X	1865909;1866186;1866563	1866138;1866495;1866887	+;+;+	865
FBgn0023513	X;X;X	1868870;1869298;1869944	1869242;1869878;1872408	+;+;+	3419
FBgn0014411	X;X	1873853;1874361	1874281;1876474	+;+	2543
FBgn0023514	X;X	1877317;1878255	1878197;1879077	+;+	1704
FBgn0029594	X;X;X	1880282;1880683;1881020	1880623;1880946;1881432	+;+;+	1019
FBgn0023519	X;X;X	1890256;1890478;1890613	1890395;1890543;1891482	+;+;+	1076
FBgn0023509	X;X	1908239;1916977	1908355;1920318	+;+	3459
FBgn0023510	X;X	1908920;1910641	1909450;1916825	+;+	6716
FBgn0023508	X;X;X;X;X;X;X;X;X	1922981;1924099;1924528;1924851;1925103;1925503;1926446;1926694;1926979	1923865;1924285;1924789;1925036;1925435;1926379;1926632;1926918;1927524	+;+;+;+;+;+;+;+;+	3688
FBgn0023522	X;X;X;X;X;X;X	1927683;1928172;1928334;1929001;1929244;1929454;1929773	1927919;1928265;1928580;1929170;1929384;1929711;1930517	+;+;+;+;+;+;+	1892
FBgn0023521	X;X;X	1940307;1940710;1941124	1940651;1941056;1941536	+;+;+	1105
FBgn0025630	X;X	2072413;2073134	2072725;2074890	+;+	2070
FBgn0025629	X;X;X;X	2074795;2075038;2075207;2075669	2074971;2075139;2075618;2075900	-;-;-;-	923
FBgn0025628	X;X;X;X;X;X	2066435;2070467;2071360;2071840;2072550;2073117	2068423;2070574;2071836;2072065;2072695;2073483	-;-;-;-;-;-	3313
FBgn0025626	X;X;X;X	2062313;2062947;2064547;2064874	2062891;2064488;2064820;2065142	-;-;-;-	2664
FBgn0025625	X;X;X;X;X;X;X;X;X	2055310;2056120;2057829;2057984;2058321;2059475;2059965;2060099;2061622	2056025;2057767;2057923;2058265;2059418;2059761;2060028;2060844;2061915	-;-;-;-;-;-;-;-;-	5230
FBgn0025631	X;X;X;X;X;X	2044292;2046016;2047051;2047558;2048239;2049196	2045949;2046983;2047191;2047647;2048395;2050120	-;-;-;-;-;-	3939
FBgn0026878	X;X	2042730;2043606	2043413;2043818	-;-	897
FBgn0000667	X;X;X;X;X;X;X;X;X;X;X;X;X;X	2023822;2025775;2027184;2027284;2027521;2027935;2028665;2029775;2030215;2030443;2034955;2036407;2036581;2042047	2025699;2026909;2027189;2027462;2027871;2028027;2028750;2029926;2030368;2030859;2035411;2036466;2036619;2042311	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5272
FBgn0003964	X;X;X	2038798;2041461;2042047	2041386;2041644;2042311	-;-;-	3038
FBgn0023545	X;X;X;X;X	2007911;2008129;2008351;2008514;2008710	2008068;2008289;2008461;2008631;2009364	-;-;-;-;-	1203
FBgn0023520	X	1937700	1940040	-	2341
FBgn0023512	X;X;X;X;X	1920166;1920829;1921181;1922543;1922731	1920767;1921115;1922469;1922667;1922874	-;-;-;-;-	2447
FBgn0023511	X;X;X;X;X;X	1903704;1904322;1906306;1907495;1908245;1908350	1904281;1906235;1907434;1908121;1908270;1908827	-;-;-;-;-;-	4752
FBgn0052801	X;X	1902082;1902622	1902462;1903177	-;-	937
FBgn0023518	X;X;X;X;X;X	1881313;1882319;1882556;1882742;1883417;1884007	1882248;1882501;1882685;1883337;1883941;1889950	-;-;-;-;-;-	8314
FBgn0026088	X;X;X	1879019;1879412;1879656	1879350;1879580;1879774	-;-;-	620
FBgn0026089	X;X	1876294;1876969	1876911;1877270	-;-	920
FBgn0023517	X;X	1872400;1872973	1872906;1873565	-;-	1100
FBgn0023516	X	1866832	1869061	-	2230
FBgn0023515	X;X;X;X;X	1862009;1862703;1863027;1863769;1864170	1862643;1862960;1863705;1864107;1865835	-;-;-;-;-	3577
FBgn0028969	X;X;X;X;X;X;X;X	1859141;1859871;1860057;1860427;1860686;1861156;1861446;1861595	1859813;1859982;1860370;1860624;1861098;1861379;1861485;1861790	-;-;-;-;-;-;-;-	2170
FBgn0026090	X;X;X;X	1857889;1858561;1858736;1858868	1858406;1858678;1858797;1858971	-;-;-;-	802
FBgn0025624	X;X;X;X	2076966;2077218;2077452;2077908	2077147;2077339;2077839;2078455	+;+;+;+	1240
FBgn0040395	X;X;X;X;X;X	2080610;2089336;2090969;2091518;2091802;2091962	2081659;2089606;2091450;2091733;2091891;2093948	+;+;+;+;+;+	4096
FBgn0000382	X;X;X;X;X;X;X;X;X;X;X;X	2094234;2095010;2095270;2102289;2108249;2108380;2109235;2109483;2109729;2110745;2110950;2111205	2094940;2095197;2095396;2103775;2108294;2108542;2109414;2109600;2110666;2110835;2111139;2115701	+;+;+;+;+;+;+;+;+;+;+;+	8732
FBgn0023507	X;X;X;X;X;X;X	2141489;2141899;2142687;2142992;2143311;2143527;2144287	2141606;2142002;2142929;2143248;2143452;2144220;2144937	+;+;+;+;+;+;+	2209
FBgn0004654	X;X;X	2145136;2145490;2147175	2145414;2145713;2148566	+;+;+	1895
FBgn0023540	X;X;X;X;X	2162196;2166809;2168069;2170789;2171155	2162278;2167167;2168233;2171085;2172281	+;+;+;+;+	2031
FBgn0025839	X;X	2172526;2172806	2172705;2173432	+;+	807
FBgn0011576	X;X;X;X;X	2176006;2177151;2177594;2177721;2178337	2177063;2177537;2177663;2178280;2178728	+;+;+;+;+	2467
FBgn0015036	X;X;X;X	2179007;2179317;2179826;2180420	2179262;2179770;2180358;2180998	+;+;+;+	1822
FBgn0003116	X;X	2181211;2181416	2181347;2182916	+;+	1638
FBgn0040899	X	2184725	2185258	+	534
FBgn0040900	X;X	2186855;2187148	2186940;2187741	+;+	680
FBgn0023549	X;X;X;X;X;X;X;X;X;X	2189188;2194581;2198632;2199820;2200005;2200675;2200936;2204107;2204509;2204765	2189429;2195039;2198943;2199939;2200606;2200869;2201061;2204437;2204709;2205373	+;+;+;+;+;+;+;+;+;+	3197
FBgn0003048	X;X;X;X;X;X;X;X;X;X	2225296;2225906;2226282;2227322;2230390;2231998;2232220;2232680;2233083;2235579	2225863;2226227;2227232;2230333;2231847;2232158;2232619;2233026;2235515;2238045	+;+;+;+;+;+;+;+;+;+	12119
FBgn0000810	X;X	2242138;2244457	2243604;2246041	+;+	3052
FBgn0023527	X;X	2262837;2263057	2262988;2264825	+;+	1921
FBgn0003079	X;X;X;X;X;X;X	2295466;2296154;2339991;2341178;2342204;2342413;2342852	2295958;2296353;2341048;2342139;2342344;2342786;2343870	+;+;+;+;+;+;+	4247
FBgn0003159	X;X;X;X;X;X;X	2344949;2348945;2349327;2349781;2353704;2354707;2365906	2348877;2349247;2349613;2349875;2354268;2354726;2366356	-;-;-;-;-;-;-	5650
FBgn0040389	X	2343997	2344649	-	653
FBgn0044047	X;X;X;X;X	2331493;2331926;2332276;2332539;2333320	2331847;2332139;2332408;2332910;2334658	-;-;-;-;-	2413
FBgn0040392	X;X	2324748;2325391	2325305;2326217	-;-	1385
FBgn0023526	X;X	2278031;2292325	2282517;2293411	-;-	5574
FBgn0023529	X;X;X;X	2271008;2274026;2274650;2274875	2273951;2274339;2274778;2275068	-;-;-;-	3581
FBgn0023528	X;X;X;X;X;X;X;X;X	2264657;2265877;2266036;2266248;2266597;2266820;2267177;2268938;2270638	2265816;2265955;2266184;2266539;2266671;2267107;2267293;2269717;2270761	-;-;-;-;-;-;-;-;-	3064
FBgn0027296	X;X;X	2260207;2261466;2261951	2261415;2261854;2262515	-;-;-	2163
FBgn0023524	X;X;X;X;X	2254403;2256160;2257880;2258328;2259721	2256101;2257498;2258266;2258741;2259863	-;-;-;-;-	3982
FBgn0023525	X;X;X;X;X;X	2250145;2250444;2250647;2251013;2251195;2251672	2250387;2250580;2250949;2251094;2251354;2251993	-;-;-;-;-;-	1247
FBgn0000377	X;X	2247594;2249828	2249769;2249983	-;-	2332
FBgn0001330	X;X;X;X;X	2237858;2238234;2238499;2241568;2241828	2238173;2238436;2241506;2241759;2242035	-;-;-;-;-	3927
FBgn0004397	X;X;X;X;X;X;X	2214347;2215255;2215713;2215905;2220373;2222160;2222473	2215122;2215653;2215843;2218095;2220524;2222348;2222567	-;-;-;-;-;-;-	3933
FBgn0023550	X;X;X;X;X;X	2201820;2202060;2202273;2202899;2203133;2203289	2202005;2202206;2202843;2203008;2203221;2203866	-;-;-;-;-;-	1681
FBgn0023542	X;X	2182818;2183610	2183549;2184668	-;-	1791
FBgn0023541	X;X;X	2173415;2174464;2175065	2174400;2174920;2175315	-;-;-	1694
FBgn0005670	X;X;X;X	2159145;2159625;2160383;2161581	2159564;2160248;2161023;2162180	-;-;-;-	2285
FBgn0004655	X;X;X;X;X;X;X;X;X	2149936;2151272;2151523;2151677;2151917;2153114;2155788;2156389;2158293	2151152;2151462;2151611;2151846;2152759;2155726;2155902;2157513;2158983	-;-;-;-;-;-;-;-;-	7054
FBgn0013432	X;X;X	2148463;2149221;2149402	2148843;2149341;2149647	-;-;-	748
FBgn0004861	X;X;X;X;X;X	2126210;2127624;2129467;2129979;2136017;2137658	2127560;2129407;2129917;2131726;2136855;2138371	-;-;-;-;-;-	6887
FBgn0004860	X;X;X;X;X;X	2115727;2117681;2119551;2120063;2121687;2122982	2117617;2119491;2120001;2121624;2121792;2123286	-;-;-;-;-;-	6126
FBgn0040394	X;X;X	2078343;2078832;2079715	2078774;2079644;2080405	-;-;-	1936
FBgn0040376	X;X;X;X	2580958;2582477;2582704;2582989	2581112;2582575;2582826;2583823	+;+;+;+	1212
FBgn0040066	X;X;X	2585980;2586761;2587441	2586549;2587386;2588217	+;+;+	1973
FBgn0001404	X;X;X;X;X	2588503;2592121;2593577;2595726;2597327	2589506;2592348;2593931;2597015;2599111	+;+;+;+;+	4662
FBgn0040336	X;X;X	2619799;2620825;2621379	2620593;2621312;2622140	+;+;+	2045
FBgn0040333	X;X	2622069;2623595	2623514;2624575	-;-	2427
FBgn0040334	X;X;X	2617758;2618869;2619116	2618761;2619039;2619738	-;-;-	1798
FBgn0029629	X;X	2609247;2610246	2610182;2610336	-;-	1027
FBgn0011566	X;X;X;X;X	2606680;2607262;2607970;2608171;2608471	2607196;2607724;2608103;2608412;2608876	-;-;-;-;-	1762
FBgn0011606	X;X;X;X;X;X	2599158;2599779;2600359;2602694;2602919;2603680	2599718;2600275;2602622;2602845;2603598;2604052	-;-;-;-;-;-	4527
FBgn0040375	X;X;X;X;X	2583745;2584463;2584667;2584998;2585651	2584395;2584602;2584935;2585412;2585699	-;-;-;-;-	1524
FBgn0040377	X;X;X;X	2579091;2579577;2579996;2580174	2579515;2579940;2580113;2580560	-;-;-;-	1294
FBgn0040388	X;X;X;X;X;X;X;X;X;X;X	2444167;2445861;2446411;2446642;2446890;2447657;2450670;2450903;2456591;2469337;2469605	2445593;2446181;2446577;2446824;2447597;2447892;2450838;2452147;2456686;2469411;2470043	-;-;-;-;-;-;-;-;-;-;-	5066
FBgn0003714	X;X	2442313;2443734	2443665;2443976	-;-	1596
FBgn0001150	X;X	2427113;2428801	2428725;2428967	-;-	1780
FBgn0003371	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	2633952;2634215;2634827;2637425;2641125;2641590;2642754;2644973;2645376;2646637;2649736;2658766;2667810;2668166;2669634;2669913;2670174;2671121;2671308;2671629;2672067;2672914;2673175;2673906;2674597;2677101	2634178;2634254;2635031;2637553;2641361;2642093;2643732;2645279;2645418;2646871;2649739;2661093;2667839;2668831;2669753;2670103;2670257;2671231;2671545;2671822;2672123;2673103;2673618;2674273;2676657;2679553	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12445
FBgn0003068	X;X;X;X;X;X;X;X	2685580;2688197;2688400;2689504;2689923;2691708;2692009;2692208	2685900;2688339;2689439;2689860;2691637;2691944;2692149;2692780	+;+;+;+;+;+;+;+	4527
FBgn0024993	X;X;X	2698701;2699044;2699842	2698978;2699338;2701033	+;+;+	1765
FBgn0024996	X;X;X;X;X	2704571;2704837;2704993;2705540;2705994	2704773;2704923;2705449;2705925;2706217	+;+;+;+;+	1357
FBgn0024997	X;X;X	2708684;2710320;2710971	2709686;2710901;2711668	+;+;+	2283
FBgn0024991	X;X;X;X;X;X	2714079;2714511;2714777;2715338;2715514;2716766	2714453;2714606;2715280;2715433;2716705;2717654	+;+;+;+;+;+	3152
FBgn0000928	X;X;X;X	2720468;2720909;2723188;2723568	2720849;2723125;2723499;2724158	+;+;+;+	3502
FBgn0000520	X;X;X	2727698;2728545;2728997	2728263;2728934;2730042	+;+;+	2002
FBgn0024975	X;X;X	2732469;2733231;2733556	2733170;2733485;2734402	+;+;+	1804
FBgn0003996	X;X;X;X;X;X	2790599;2791414;2791749;2792126;2792855;2796237	2791343;2791545;2792064;2792780;2793128;2796466	-;-;-;-;-;-	2352
FBgn0040384	X;X;X;X;X;X;X;X;X;X	2782906;2783767;2784270;2784548;2785000;2788494;2789238;2789709;2790059;2790245	2783425;2784146;2784487;2784687;2785129;2788612;2789439;2789942;2790157;2790567	-;-;-;-;-;-;-;-;-;-	2365
FBgn0024980	X;X;X;X;X;X;X;X	2739089;2739297;2741423;2741589;2741898;2742561;2742917;2743451	2739232;2739545;2741496;2741831;2741991;2742797;2742958;2744076	-;-;-;-;-;-;-;-	1709
FBgn0000376	X;X;X;X;X;X;X	2734248;2735177;2735396;2735837;2737470;2737922;2738668	2735104;2735328;2735768;2737413;2737673;2738538;2738773	-;-;-;-;-;-;-	3886
FBgn0024973	X;X;X;X;X	2717638;2718813;2719165;2719827;2720059	2718750;2719091;2719767;2719987;2720327	-;-;-;-;-	2425
FBgn0024998	X;X;X;X;X	2711756;2712093;2713334;2713496;2713678	2712022;2713270;2713431;2713621;2713960	-;-;-;-;-	1952
FBgn0024995	X;X	2706151;2706953	2706856;2707427	-;-	1181
FBgn0024994	X;X	2701124;2703288	2702775;2703852	-;-	2217
FBgn0024992	X;X;X;X;X;X;X	2694392;2695393;2695988;2696321;2696916;2697339;2697849	2695225;2695928;2696258;2696857;2697284;2697788;2698211	-;-;-;-;-;-;-	3360
FBgn0000092	X;X;X	2692732;2693156;2693733	2693097;2693648;2693886	-;-;-	1013
FBgn0011276	X;X	2680199;2681334	2681236;2681723	-;-	1428
FBgn0004647	X;X;X;X;X;X;X;X;X	3134870;3147975;3155927;3156260;3159103;3163479;3169722;3170104;3170635	3135827;3148065;3156189;3156464;3159233;3169627;3170031;3170559;3172221	+;+;+;+;+;+;+;+;+	10150
FBgn0040396	X;X	3175018;3175934	3175658;3176223	+;+	931
FBgn0000479	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	3176440;3189534;3244735;3245073;3246295;3256068;3256287;3258611;3279947;3289381;3291010;3293600;3313500;3321041;3325927;3329407;3332442;3333870;3334555;3337242;3337689;3338026;3338215;3338448;3338970	3176685;3190576;3244854;3246195;3246685;3256211;3256317;3258878;3281155;3290291;3291877;3295453;3314608;3321217;3325965;3329844;3332546;3334331;3334648;3337582;3337953;3338140;3338377;3338816;3343767	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	16683
FBgn0029657	X;X;X;X;X;X;X;X;X	3387944;3393025;3423863;3439306;3439995;3445072;3447717;3447885;3448895	3392891;3393531;3424292;3439453;3440146;3445094;3447817;3448067;3448943	-;-;-;-;-;-;-;-;-	6541
FBgn0000644	X;X;X	3173376;3173668;3174343	3173595;3174278;3174474	-;-;-	963
FBgn0028746	X;X	3172268;3173045	3172987;3173140	-;-	816
FBgn0029648	X;X	2948034;2948218	2948148;2949120	+;+	1018
FBgn0028369	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	2740384;2740805;2741157;2862764;2968281;2989051;2989186;2994861;2995211;3066111;3099550;3113168;3128639;3129253;3130382;3130559;3130743;3131926	2740471;2741004;2741244;2862816;2968578;2989113;2989281;2995159;2995488;3066508;3100318;3113223;3128802;3130312;3130484;3130686;3131847;3134532	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7853
FBgn0003285	X;X;X;X;X;X;X;X	2950399;2954653;2955541;2955948;2957057;2957461;2965979;2973401	2954530;2955201;2955643;2956178;2957257;2957959;2966080;2973834	-;-;-;-;-;-;-;-	6251
FBgn0029639	X	2885186	2885914	-	729
FBgn0029664	X;X;X	3482965;3483146;3483970	3483083;3483912;3484555	+;+;+	1472
FBgn0029666	X;X;X;X;X;X	3485650;3486083;3486313;3487597;3487841;3488075	3486021;3486184;3487530;3487787;3488022;3490915	+;+;+;+;+;+	4906
FBgn0052792	X;X;X;X;X;X;X	3557812;3559144;3569504;3569755;3570232;3570666;3571544	3557838;3559277;3569694;3570058;3570380;3571474;3572000	+;+;+;+;+;+;+	2071
FBgn0023215	X;X;X;X;X;X;X;X;X;X;X	3671801;3683353;3688235;3689363;3692953;3698118;3699114;3699339;3699684;3699930;3700671	3672039;3683449;3688495;3689482;3693932;3699027;3699273;3699486;3699787;3700464;3701672	+;+;+;+;+;+;+;+;+;+;+	4556
FBgn0015286	X;X;X;X;X;X;X	3704610;3707368;3708744;3709836;3710069;3716472;3719363	3706251;3707491;3708918;3709996;3710248;3716667;3719635	-;-;-;-;-;-;-	2751
FBgn0023216	X;X	3668837;3670655	3670587;3671502	-;-	2599
FBgn0029672	X;X;X;X	3571456;3572003;3572595;3573368	3571939;3572532;3573303;3573622	-;-;-;-	1978
