FLYBASE	FLYBASECG	SYMBOL	GENENAME	RhythmicityChange	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0031702	CG14021	fusl	fuseless	LOSS	16.22470425	15.50613256	14.10009872	13.37141589	15.64283144	16.50731785	14.81596554	12.69467801	11.02704321	14.11542161	17.26324136	14.79458877	12.7214247	11.88698639	13.29443531	12.42651736	15.87245156	12.06587489	15.63884961	16.79725596	13.22466546	12.59405836	14.45382735	12.44118108
FBgn0014464	CG33962	Cp7Fa	Chorion protein a at 7F	LOSS	2.128267521	2.201026874	2.07167279	1.309889153	1.540087169	1.684152726	2.020822208	1.837854255	1.698381061	0.982149933	1.194099252	1.712100267	1.436151983	2.318277102	2.164548235	1.068521008	1.551424582	2.14971495	1.662582607	1.440920391	1.94861989	1.747583804	1.358971074	1.78650452
FBgn0035480	CG14984	CG14984	uncharacterized protein	LOSS	35.62528383	34.88158938	29.46766474	27.80934526	25.60323209	25.09866034	35.66619049	34.7480868	34.13554909	30.25488825	27.61901885	22.5197799	45.17224049	38.93899808	41.08118447	50.98570819	34.89125887	37.38628001	37.35522344	37.35845755	35.87594361	43.76707157	31.94393445	40.98391179
FBgn0033792	CG13325	CG13325	uncharacterized protein	LOSS	1.559991997	1.747602721	1.149206507	1.028712275	1.100591489	1.144235278	1.52664387	1.453493888	1.492087479	0.992557203	1.0781715	1.155232121	1.41485436	1.252640518	1.150614173	1.240844266	1.576582552	1.587927507	1.230584039	0.925806898	1.596660289	1.255996945	1.494161785	1.395306662
FBgn0035490	CG1136	CG1136	uncharacterized protein	LOSS	10.98527459	11.75716045	11.21421975	8.399781841	7.603347966	9.59571997	10.77301922	11.2337482	10.33131886	8.290297423	7.541187764	9.738344146	12.215493	12.63295374	14.51453543	11.68482453	9.999668186	13.92211492	9.878266789	11.55986909	11.50474512	10.51958183	10.59092797	15.13892002
FBgn0259714	CG42368	DIP-epsilon	Dpr-interacting protein epsilon	LOSS	9.197253665	11.82734141	9.442190766	8.591209494	8.06786291	9.120760135	9.850152299	10.58228203	9.496901731	8.803597064	7.782826183	9.872341547	10.36126666	12.78076789	9.694843373	11.81163758	11.5842733	14.26725028	9.77094381	11.91018934	10.80530818	10.88883407	12.31496711	15.12584138
FBgn0001108	CG9206	DCTN1-p150	"Dynactin 1, p150 subunit"	LOSS	20.25089943	22.04841648	19.99335178	20.61536245	20.763864	18.40781574	18.71667965	21.06645019	21.09861129	21.16190305	20.83233264	17.39446835	21.54832329	22.10566381	19.98025746	22.58103881	24.07770734	21.24981042	20.22396638	20.07275591	18.8322043	21.48933268	21.70003019	21.48918289
FBgn0051809	CG31809	CG31809	uncharacterized protein	LOSS	3.468818023	4.591085899	3.036207028	2.961655739	2.926820827	1.931794744	3.262176575	4.124742424	3.53023843	3.538578061	2.823324076	2.496777345	4.239445394	4.288815908	3.913973549	4.46847553	5.804597008	3.055923827	5.100594421	4.934756086	3.111430146	5.105150281	5.001142203	3.9121026
FBgn0034532	CG13436	CG13436	uncharacterized protein	LOSS	1.809465308	3.037956521	1.986719974	2.117551636	1.723629519	1.789125179	2.078896768	2.7868025	2.604784018	2.495007756	1.789611093	1.563272679	1.957483659	3.087727604	1.657508026	2.806957868	2.529451038	2.371964836	2.616982531	2.389102786	3.006929242	2.723317479	2.367766659	2.152904422
FBgn0038279	CG3837	Sdr	Secreted decoy of InR	LOSS	8.982036554	9.62461363	9.161441695	8.338945518	7.119173763	7.918399736	8.838865028	10.15456912	9.010315261	8.490843104	7.503137963	6.945899168	8.289755906	9.371853301	8.377047191	10.83733139	8.916565892	9.889306896	8.076260382	8.72176454	8.961003418	9.437170502	8.729348802	7.741918234
FBgn0053143	CG33143	CG33143	uncharacterized protein	LOSS	15.61070432	18.06735604	16.42908073	15.40728342	15.6728573	14.58608218	15.76150826	18.16161455	20.01109583	15.47972944	14.77612986	15.24744376	16.50297315	17.26472814	14.97482841	21.6742569	18.07680331	19.22080739	13.3580692	13.95739827	15.82726028	19.08975048	16.86526853	17.66985611
FBgn0044328	CG32052	CG32052	uncharacterized protein	LOSS	14.67911941	16.45465268	15.60368242	14.72485933	15.38553098	14.28470737	15.00948665	16.79276683	17.34852898	14.99409944	12.90350816	13.6842275	13.6345599	15.50872446	13.24922508	17.29739989	15.55689449	19.28762074	14.12275013	13.76077602	13.48676777	18.55734888	17.79789349	17.83843048
FBgn0034143	CG8303	CG8303	uncharacterized protein	LOSS	6.646579261	8.410496284	7.124257149	7.335506138	6.03144666	4.827146708	5.811089391	6.817755357	7.792733289	7.375781101	5.969223023	5.02882644	10.28808031	8.044665316	7.876425934	9.073450222	6.255606191	6.676553281	9.153869625	9.549827004	9.565913443	11.7174397	9.989249842	8.938874046
FBgn0038201	CG9918	PK1-R	Pyrokinin 1 receptor	LOSS	1.925438204	2.969427885	1.703851905	1.923787954	1.185452733	1.246621648	1.964216953	2.161864203	2.131072275	2.038661158	1.104850791	1.329891755	2.431813177	1.780759858	2.037903479	2.837815838	1.913958909	1.431268738	2.08707623	2.1422748	2.276486893	2.855185362	1.955955381	1.76317755
FBgn0052944	CG32944	CG32944	uncharacterized protein	LOSS	11.77149793	12.7267211	11.69837931	11.67423605	11.43476633	11.13113938	10.69904572	13.39138486	11.41989642	11.71671359	10.44108163	10.70753199	11.69519957	12.63743788	11.34205335	15.62967186	13.73213414	15.30950629	11.57302187	12.02076126	12.08907321	14.18386471	14.2371374	13.90765507
FBgn0037409	CG15589	Osi24	Osiris 24	LOSS	1.635332663	2.291063742	1.986741565	1.617591746	1.287859611	1.153328433	1.732432801	2.300768459	1.55711848	1.598775501	1.422236819	0.896969482	1.178391414	1.564013883	1.812919106	1.784356926	1.391123873	1.622315932	1.375306066	1.509796641	1.6183302	1.373338965	1.993502185	1.059325087
FBgn0036436	CG4914	CG4914	uncharacterized protein	LOSS	2.683075595	3.442423835	2.933268118	3.499738327	2.191030965	2.159850731	3.063634984	3.783630955	2.8777576	2.711560248	1.698208933	1.927160404	1.737973835	1.963359308	1.811055088	1.915132064	1.339175928	2.297427927	2.127512165	2.763977092	1.822200676	2.061162063	1.496727164	2.247720061
FBgn0037439	CG10286	CG10286	uncharacterized protein	LOSS	5.587386599	6.991200395	6.981189111	6.492833535	6.428953802	5.569168808	5.381770414	6.465663187	6.671463669	6.940278326	6.45138351	6.052467684	6.085589461	6.974088768	6.12761684	5.858444198	7.393276312	6.489263726	6.135393173	7.576404725	5.891340645	7.281171001	7.091963131	6.146070855
FBgn0030468	CG1622	CG1622	uncharacterized protein	LOSS	10.29439047	11.10018249	11.56414212	10.7148249	10.57585026	9.72736077	9.355704342	11.7559866	13.12634829	11.29224299	10.76538298	9.909154001	10.32969417	10.78729841	13.31149839	11.85451772	11.06504475	12.34932457	9.885210249	11.28931779	10.1204905	13.08898333	12.8812048	15.66851765
FBgn0264598	CG43947	PsGEF	Protostome-specific GEF	LOSS	18.70227789	25.64098076	27.57570449	22.97416386	19.09353468	19.42797343	18.81462569	27.19684156	29.7489227	24.0419856	16.0782601	18.40427566	17.88583476	22.39933372	21.12547732	22.72118537	19.34720009	23.18057234	14.78144143	15.4910148	20.77383283	22.03826406	19.0656509	22.24369202
FBgn0085400	CG34371	side-V	sidestep V	LOSS	10.09342367	13.51094099	15.37144756	12.90359395	11.29585792	11.16671785	10.96304819	13.62863019	15.91668234	13.4452802	10.09182306	9.817024072	10.51450397	12.17472138	11.34946967	12.65548893	12.68456727	13.8117823	9.023506066	10.50225321	12.93818561	12.77366337	11.57661687	12.39044082
FBgn0000529	CG10604	bsh	brain-specific homeobox	LOSS	2.719593982	2.8746888	3.010634033	2.834202436	2.737075702	2.51991531	2.735305028	3.072154079	3.711512814	2.881456635	2.586405181	2.221981464	1.930117894	2.33558222	3.012265456	2.49155608	2.85934423	3.311116616	2.403564378	2.295266381	2.069131976	3.055478115	3.093235203	2.351434509
FBgn0020372	CG11303	TM4SF	Transmembrane 4 superfamily	LOSS	52.6909158	58.00514686	63.01727375	54.60211521	55.69786348	61.49476363	55.8673753	63.84055592	55.2101017	52.28385102	56.00645426	56.51813276	50.35896565	53.69029378	46.99099973	60.39498792	55.24650617	68.94682072	46.97931478	48.64468091	53.43880538	60.56217206	63.79588141	75.74084935
FBgn0261555	CG42673	CG42673	uncharacterized protein	LOSS	8.630344494	9.928700262	10.93217569	9.70305165	9.578364775	9.156472454	8.808551071	10.15517102	9.974210393	10.19913319	9.80768811	8.928425049	10.2708523	10.64904448	10.43714344	12.57762868	11.94309826	11.89470342	9.140393992	9.527606791	10.59566895	11.42089959	11.68827087	11.61552851
FBgn0005677	CG4952	dac	dachshund	LOSS	8.011841676	8.847271725	9.049756155	8.148025865	8.106109921	7.253446924	8.180223913	8.773530807	9.155985252	8.077930206	7.729520163	7.484539219	7.41825049	8.443757563	7.877820914	9.859154551	8.85038945	10.36512515	7.411707829	7.369653185	7.878768519	9.636692118	9.815260869	9.536769399
FBgn0038341	NA	NA	NA	LOSS	3.482023363	4.058407076	4.280497478	3.75622765	3.850143992	3.375810595	3.712162276	4.52058562	4.106471796	3.954819384	3.742718707	3.65365955	3.90984783	3.926299636	3.813873535	4.222020365	4.005824445	3.131177338	3.075311773	2.897554448	3.839429618	3.244310527	3.546548952	3.496180643
FBgn0265050	CR44165	asRNA:CR44165	antisense RNA:CR44165	LOSS	0.795045782	1.428076934	1.564204239	1.179631084	0.796600136	1.011118079	1.351113746	1.544754634	1.281111749	1.022069158	0.97230066	1.558977114	1.597652921	1.691203024	1.149061707	1.309749697	1.638364692	1.577434938	0.882590638	1.397450175	1.786751399	1.508579919	0.72342081	1.528895827
FBgn0024273	CG1520	WASp	WASp	LOSS	19.0888457	22.40154181	22.9237968	21.00035249	20.92495428	20.43933943	19.81236138	22.83149073	23.5075309	20.70090697	19.09465008	18.42487736	20.1063981	22.98989037	22.95290594	24.88660937	24.18232705	26.74374245	18.62798155	22.67971453	22.64722883	24.12209763	25.92007929	29.11933246
FBgn0259239	CG42337	CG42337	uncharacterized protein	LOSS	7.884363287	9.375394801	9.796177208	8.169614015	8.262841867	7.881859372	8.153954178	9.078669897	9.629850685	8.550433927	7.719261866	8.14189063	7.186723178	8.909788979	9.179881407	10.76258221	9.006798513	10.27705647	6.299697596	7.81864438	9.617669222	8.697463792	9.059587035	9.748624115
FBgn0039630	CG11843	CG11843	uncharacterized protein	LOSS	2.117207568	2.968012641	2.876833644	2.765976074	2.368170184	1.910227754	2.05600972	2.454852427	3.310449026	2.844230948	2.96273062	2.169173641	4.281309217	3.768456551	3.560321819	4.136550906	4.872007275	3.631489033	3.399862302	3.463954856	2.917715362	4.627731368	4.093988328	3.127664391
FBgn0046258	CG12880	CG12880	uncharacterized protein	LOSS	0.51589824	0.779242373	0.766036545	0.688907044	0.732284699	0.446151848	0.676331384	0.79257775	1.116320078	0.688719862	0.488452162	0.389079456	0.99062729	0.54870341	0.714548735	0.922732393	0.911246134	0.521097159	0.859057994	0.846340293	0.676320938	0.978904288	0.765898111	0.496043551
FBgn0025625	CG4290	Sik2	Salt-inducible kinase 2	LOSS	17.19753194	21.24096883	22.00583514	24.57857974	21.722236	17.962793	17.21750708	21.94055073	23.12056422	23.73128384	19.95158195	16.9176112	17.17815292	19.12783097	16.4598787	19.3548807	20.98643073	20.71776121	15.95254453	19.22161098	18.26432312	22.566842	22.70801688	21.54372289
FBgn0025641	CG14622	DAAM	Dishevelled Associated Activator of Morphogenesis	LOSS	19.90469956	23.15048499	25.04719297	26.71214948	25.11621893	19.36536472	18.18650742	24.82310927	26.59964075	27.0928185	23.08983	16.77302561	21.01451672	25.10654955	22.7353032	24.77173	24.7797807	24.32922049	19.36452806	23.71962403	22.95862806	28.04267517	26.42161014	26.00998995
FBgn0023508	CG3573	Ocrl	Oculocerebrorenal syndrome of Lowe	LOSS	17.11534376	23.32974779	23.97796162	21.98760266	21.61298063	19.8664524	17.70122296	24.29036656	24.50529173	20.92053671	19.39893237	17.03753056	19.29678044	23.46214225	21.23592272	22.68370193	23.4211482	25.50928643	18.21075094	21.57698942	21.95619758	24.39532527	23.51114535	25.8022195
FBgn0029843	CG5905	Nep1	Neprilysin 1	LOSS	10.22368663	13.15755676	12.71368142	14.11553824	13.82164115	10.31880491	11.09619128	14.15824334	14.37878497	13.75891034	12.90798277	9.870652754	10.97897221	12.43446672	12.31338609	15.30472053	14.57497691	15.49522031	11.21177525	13.56868821	10.55656131	16.35855944	16.01126695	14.98825211
FBgn0033033	CG11066	scaf	scarface	LOSS	34.54604824	44.02514401	50.56263819	50.74043519	39.10760374	40.24480098	35.65791781	47.21198765	53.50940618	50.57314287	38.51361351	40.03160828	47.17528911	53.82467184	55.10232704	67.0202822	51.50257812	57.09809125	38.86437865	45.3426969	55.20979676	59.5719468	53.36289222	61.60253389
FBgn0025743	CG18582	mbt	mushroom bodies tiny	LOSS	17.84446087	20.31655781	19.75033897	21.37618545	20.05312095	17.34940054	18.33007242	21.73121745	20.27023011	20.23239736	19.7156964	15.94510851	19.44761902	21.02345507	18.88185076	23.72000602	23.64505115	25.44706688	18.12540539	19.10047116	20.44608075	23.67145052	24.32023336	26.17381396
FBgn0000533	CG4920	ea	easter	LOSS	15.90125407	18.96480558	17.67271893	18.95678224	17.76493511	15.59230158	15.96981308	20.32634169	19.09003926	20.75504219	17.26663999	13.86644869	21.8311256	21.98566338	19.22850421	23.61289146	21.60940908	19.96722535	18.82426536	21.59486071	19.14417244	24.47520518	24.36224863	23.42393849
FBgn0034639	CG15673	CG15673	uncharacterized protein	LOSS	11.83988717	15.66934785	19.67500861	16.06623823	16.16713217	15.48165971	12.28630328	18.00041924	19.20633255	17.83713252	15.78303037	14.61368367	14.20098656	18.2635645	24.14407688	23.98126977	21.03177944	25.47266979	13.7604606	16.99602079	23.37444958	22.28234434	21.08386749	25.48092832
FBgn0031979	CG7429	CCDC53	Coiled-coil domain containing 53	LOSS	6.862155458	8.464948327	8.638787083	8.77975703	8.594464135	7.740564282	6.518939647	7.549525505	7.82950677	10.6213571	8.827561024	6.525367391	8.460270088	8.278082373	8.983440446	8.285388028	9.975213674	8.556506276	11.0402432	9.38124067	6.565402103	10.13057782	9.14445757	8.196348842
FBgn0031769	CG9135	CG9135	uncharacterized protein	LOSS	7.798255338	8.731873395	9.248414463	11.34007596	9.606209402	9.273612827	8.08425994	9.372071463	9.399918445	10.25537335	9.588810067	7.882440066	9.587831058	9.048146525	8.196830735	12.10789279	10.27321534	10.47809909	8.151019107	9.414892464	9.843846449	10.37711597	12.18348744	10.86464353
FBgn0004569	CG4531	aos	argos	LOSS	8.552320439	9.046358107	9.742752456	10.73710914	10.42219687	9.159253604	7.868004408	10.01303879	10.02684932	11.74426723	10.25825988	8.321428825	9.478186979	9.751020755	9.216144024	12.19036568	11.4745481	9.367957308	9.080839654	9.30480188	9.240439386	11.73949388	11.82283966	9.250481498
FBgn0000500	CG18090	Dsk	Drosulfakinin	LOSS	159.3601503	171.2623944	179.7654863	221.6690587	193.567533	174.4534443	169.512162	181.0278554	220.2620609	214.476591	182.3023222	166.2055352	165.8693183	167.2383592	181.6952142	222.8417934	172.0989255	198.1721507	162.5149508	157.8955512	182.83232	222.9449761	180.7609858	187.9956488
FBgn0001961	CG8978	Arpc1	"Actin-related protein 2/3 complex, subunit 1"	LOSS	59.01029934	66.55807705	65.04636557	69.22384411	72.25842394	63.76904554	52.97663059	66.9406258	66.90657886	70.68341782	68.43653328	60.41694086	63.53587296	65.76801823	73.17821375	72.91632809	87.00203384	83.90852677	68.02884557	74.74526011	69.20351916	81.43982143	83.83457507	87.11977622
FBgn0030396	CG2556	CG2556	uncharacterized protein	LOSS	1.590350368	2.216043627	3.778315665	3.796408492	3.718072356	2.71832776	2.059175091	2.165403841	3.592577957	4.801885784	3.379556132	2.793288778	2.670290094	2.922090022	2.656041507	3.273659597	3.442240557	3.564627024	1.824317531	2.136893791	4.13005311	3.811769573	3.676083602	3.728200341
FBgn0041781	CG4636	SCAR	SCAR	LOSS	39.97130918	40.75871389	42.9259314	43.17992039	42.59800915	39.98206042	40.06364871	42.31042778	43.44156848	44.98106598	40.01818227	38.80746877	43.56370582	44.57588947	38.49798949	48.38044716	47.65612145	47.79687651	41.68816015	41.62998196	42.53504345	49.2757404	52.61687855	50.84724808
FBgn0032034	CG17295	Rcd4	Reduction in Cnn dots 4	LOSS	6.798454922	9.359987815	10.34217265	11.2078364	11.1303043	10.51093798	9.190944014	7.649669644	9.942186202	11.00705952	11.62195176	13.4715975	9.28629403	11.404009	9.151343767	11.92124934	14.80015743	14.9553666	8.755568042	11.50705001	13.35625109	13.11290335	14.4275884	15.06030179
FBgn0261270	CG8553	SelD	"Selenide,water dikinase"	LOSS	8.414445192	10.99214009	11.47550755	14.57193423	14.31090525	13.53957302	8.296936965	12.19014179	11.2522909	15.51527731	14.60578526	10.9346379	9.665541468	12.35570694	10.10315703	12.8199399	14.1549337	13.8789804	11.23313298	12.76242376	9.430885616	15.87570717	17.38342697	14.95429167
FBgn0031110	CG1670	Obp19b	Odorant-binding protein 19b	LOSS	14.9217767	18.86213878	18.33273908	24.72470174	25.23447061	18.9578526	14.490463	16.90753023	24.5501303	27.93881201	22.41105609	18.58476729	9.267928173	13.45027958	16.60334784	12.763373	18.2210207	20.65726087	12.40262205	10.41426573	12.76696203	19.97012673	22.78028813	16.43876243
FBgn0263445	CR43468	asRNA:CR43468	antisense RNA:CR43468	LOSS	2.06331748	2.188074144	2.253783635	3.284260911	2.732705829	2.65423404	1.773369585	2.271860072	2.292941271	2.790863265	2.488715141	2.52793359	1.821600084	1.88634458	2.285108152	2.902339932	3.291418507	2.361307328	2.896054087	2.686435906	2.020919192	2.842173818	3.066590794	2.198914279
FBgn0039849	CG11334	CG11334	uncharacterized protein	LOSS	16.92456004	20.35894122	25.54944172	31.47299321	39.75626454	37.36602038	18.65412897	22.25406181	23.86923369	30.09763529	43.73261395	31.11614278	25.14226852	25.40977777	28.33362594	23.57964288	41.68600312	30.38453322	25.25965574	22.76292856	24.88157063	27.01514658	34.82525532	28.78807815
FBgn0036892	CG8798	Lon	Lon protease	LOSS	21.26470544	22.72844107	21.96948408	26.77757333	27.80966163	23.60434051	21.33123622	21.74105341	24.78319365	31.24057764	26.97573713	23.27723451	25.98761904	24.59259212	28.83407308	32.09948905	34.42797292	26.85109133	25.24774973	22.19326256	23.41543211	31.65359939	32.32399961	26.22032098
FBgn0050489	CG30489	Cyp12d1-p	Cyp12d1-p	LOSS	0.098103541	0.364890718	0.388453337	0.355810634	0.573389472	0.310527401	0.243462308	0.246269762	0.381401676	0.441947644	0.722434044	0.482289537	0.214176904	0.292358647	0.315081847	0.153918759	0.375905247	0.125831328	0.161342242	0.229915163	0.163313809	0.370120955	0.334093023	0.20961769
FBgn0001220	CG8542	Hsc70-5	Heat shock protein cognate 5	LOSS	82.29537393	87.65430879	81.67989183	110.6757712	109.7015667	97.59293702	82.40082993	88.1816063	90.3247419	128.3867091	109.5859226	87.59605093	112.4888722	116.4406342	117.6226576	123.9016298	133.3056923	93.8633073	112.355822	108.2020727	93.28140173	142.581576	126.1289486	95.72364901
FBgn0259715	CG42369	CG42369	uncharacterized protein	LOSS	97.18655007	116.2970812	110.4512287	140.2720967	130.0573269	122.4339938	91.18504879	99.01635221	100.2428873	120.1066892	142.5439421	114.9948424	85.14345166	80.69821741	90.59995821	103.932248	138.0155372	95.07254876	105.6945724	121.4643286	113.9613576	143.6827032	136.7306485	134.7436186
FBgn0265101	CG9617	Sgt1	suppressor-of-G2-allele-of-skp1	LOSS	26.8367887	34.74184524	33.29653738	36.34437933	37.25846285	34.72587657	26.76069787	31.49590969	45.1511685	41.49970337	36.06011218	32.87258812	33.94177227	32.94098209	43.76508634	40.09900011	40.48688368	32.68202	33.74078934	39.08049198	30.44263465	43.30451288	40.32470066	40.72844115
FBgn0263260	CG12918	sel	seele	LOSS	25.15192538	29.28593623	28.74506716	35.38461964	35.14932502	29.32294383	24.89371766	22.6864094	25.51539127	39.38512737	37.97566741	30.87476203	39.96879255	32.19174729	40.35180359	36.72002713	41.62073409	25.91391751	34.38825752	34.88485498	26.80704585	36.20729106	38.00848722	30.17189802
FBgn0030801	CG4875	Rcp	Receptor component protein	LOSS	6.83907742	8.103751783	8.124056769	9.089228278	9.458721166	8.920776158	7.050095175	7.638513669	6.975470195	8.497159809	9.353116703	9.09904065	8.801911758	8.952570779	6.378371696	9.376470007	10.38383862	9.969784117	8.825061596	7.616744386	9.294158946	9.491935604	10.64872043	9.659063195
FBgn0033467	CG15863	Pdrg1	Pdrg1 prefoldin-like subunit	LOSS	6.867596978	9.155966728	9.035687284	10.3186235	10.74252609	13.62066009	9.708167832	8.563141418	9.045091834	10.57371533	12.07166352	12.93756115	10.01555918	9.245945356	15.70503601	11.04764214	12.72270085	8.529886289	10.21332997	11.00156327	9.198497702	10.4179325	10.82421266	12.17967229
FBgn0034259	CG6459	P32	P32	LOSS	33.91101059	32.00781211	32.84580828	42.92347681	44.99907764	38.63673187	32.47858002	34.93074937	33.52459153	50.15449103	46.89775661	36.78196691	46.65854135	47.69043426	51.29513356	45.5525367	54.33943365	40.68544448	47.7808619	40.08413468	33.10209212	48.83293013	50.44334189	37.62445509
FBgn0036489	CG7011	CG7011	uncharacterized protein	LOSS	11.27715907	11.55378814	12.66678217	13.34979919	15.2782281	13.76831131	11.0924987	12.36103301	14.10187744	14.35343019	15.98710959	12.36424788	13.41824897	15.54374849	15.72904768	13.2185384	15.63548187	15.82639309	12.61987963	14.60705982	12.1949996	15.80337527	17.17750905	15.81500919
FBgn0037643	CG11963	ScsbetaA	"Succinyl-coenzyme A synthetase beta subunit, ADP-forming"	LOSS	232.224494	217.4655467	216.2004544	252.3644259	253.3536493	263.431724	223.7032956	185.7563905	225.6165789	246.1562407	278.1398656	260.3642427	227.5375765	242.7926131	263.2140177	221.2481926	272.4517933	241.5804342	290.8031566	311.9837931	259.6746182	282.4170478	268.8291328	250.4331174
FBgn0036145	CG7607	CG7607	uncharacterized protein	LOSS	156.3670574	140.685596	153.6122877	172.8289627	183.9940108	193.2454321	139.5602835	130.4708885	151.5224236	183.0520096	188.6380192	175.4037753	105.2303185	96.05095329	100.3301022	99.62405476	113.4359826	90.28470762	128.2808498	125.9818069	100.2626988	102.3288943	110.1898367	87.24993403
FBgn0029831	CG5966	CG5966	uncharacterized protein	LOSS	17.11442554	16.39789573	16.50653545	32.96856602	35.59425917	25.20444846	21.9446251	14.88971535	19.58438658	23.81489468	37.97153449	25.06812693	35.59558782	42.18507982	38.44857427	36.45188489	53.89946092	35.98147405	53.00378156	48.03553565	30.42974143	71.00724108	60.12972998	47.72315099
FBgn0027578	CG14526	Nepl21	Neprilysin-like 21	LOSS	55.66968407	47.59867103	48.85689077	56.93802827	61.51371337	67.76611733	54.79579267	41.11026191	48.83899574	56.58979886	77.79096565	71.0163746	73.51795505	49.93056224	96.32989983	86.10182227	107.4994914	77.37068663	76.96743805	83.79086387	84.42655143	69.18484842	90.5662472	92.35601241
