RAWDATA	FLYBASE	SYMBOL
FBgn0023515	FBgn0023515	CG14814
FBgn0028969	FBgn0028969	deltaCOP
FBgn0026090	FBgn0026090	CG14812
FBgn0029590	FBgn0029590	CG14811
FBgn0025624	FBgn0025624	CG4025
FBgn0040395	FBgn0040395	Unc-76
FBgn0000382	FBgn0000382	csw
FBgn0023507	FBgn0023507	D2hgdh
FBgn0004654	FBgn0004654	Pgd
FBgn0023540	FBgn0023540	CG3630
FBgn0025839	FBgn0025839	ND-B14.5A
FBgn0011576	FBgn0011576	Cyp4d2
FBgn0015036	FBgn0015036	Cyp4ae1
FBgn0003116	FBgn0003116	pn
FBgn0040899	FBgn0040899	CG17776
FBgn0040900	FBgn0040900	CG17777
FBgn0024984	FBgn0024984	CG3457
FBgn0023549	FBgn0023549	Mct1
FBgn0029606	FBgn0029606	CG14052
FBgn0003048	FBgn0003048	pcx
FBgn0000810	FBgn0000810	fs(1)K10
FBgn0023523	FBgn0023523	Or2a
FBgn0023527	FBgn0023527	CG3071
FBgn0040391	FBgn0040391	CG2854
FBgn0053218	FBgn0053218	lncRNA:CR33218
FBgn0003079	FBgn0003079	Raf
FBgn0003159	FBgn0003159	CG2841
FBgn0040389	FBgn0040389	mRpL14
FBgn0044047	FBgn0044047	Ilp6
FBgn0040392	FBgn0040392	CG14050
FBgn0023526	FBgn0023526	CG2865
FBgn0023529	FBgn0023529	CG2918
FBgn0023528	FBgn0023528	CG2924
FBgn0027296	FBgn0027296	temp
FBgn0023524	FBgn0023524	CG3078
FBgn0023525	FBgn0023525	CG3191
FBgn0000377	FBgn0000377	crn
FBgn0001330	FBgn0001330	kz
FBgn0004397	FBgn0004397	Vinc
FBgn0023550	FBgn0023550	FarO
FBgn0029603	FBgn0029603	CG14053
FBgn0023542	FBgn0023542	Nmd3
FBgn0023541	FBgn0023541	Cyp4d14
FBgn0005670	FBgn0005670	Cyp4d1
FBgn0004655	FBgn0004655	wapl
FBgn0013432	FBgn0013432	bcn92
FBgn0004861	FBgn0004861	ph-p
FBgn0004860	FBgn0004860	ph-d
FBgn0040394	FBgn0040394	CG16903
FBgn0040376	FBgn0040376	AANATL7
FBgn0040066	FBgn0040066	wds
FBgn0001404	FBgn0001404	egh
FBgn0040336	FBgn0040336	Seipin
FBgn0040333	FBgn0040333	brv3
FBgn0040334	FBgn0040334	Tsp3A
FBgn0029629	FBgn0029629	eIF3g1
FBgn0011566	FBgn0011566	Smyd3
FBgn0011606	FBgn0011606	Klp3A
FBgn0040375	FBgn0040375	CG13760
FBgn0040377	FBgn0040377	Vha36-3
FBgn0040388	FBgn0040388	boi
FBgn0003714	FBgn0003714	tko
FBgn0001150	FBgn0001150	gt
FBgn0052797	FBgn0052797	CG32797
FBgn0040385	FBgn0040385	CG12496
FBgn0003371	FBgn0003371	sgg
FBgn0003068	FBgn0003068	per
FBgn0024993	FBgn0024993	CG2662
FBgn0024996	FBgn0024996	eIF2Bbeta
FBgn0024997	FBgn0024997	CG2681
FBgn0024991	FBgn0024991	CG2694
FBgn0000928	FBgn0000928	fs(1)Yb
FBgn0000927	FBgn0000927	fs(1)Ya
FBgn0000520	FBgn0000520	dwg
FBgn0024975	FBgn0024975	CG2712
FBgn0040356	FBgn0040356	CG12498
FBgn0003996	FBgn0003996	w
FBgn0040384	FBgn0040384	CG32795
FBgn0024980	FBgn0024980	Syx4
FBgn0000376	FBgn0000376	crm
FBgn0024973	FBgn0024973	CG2701
FBgn0024998	FBgn0024998	CG2685
FBgn0024995	FBgn0024995	CG2680
FBgn0024994	FBgn0024994	Ugalt
FBgn0024992	FBgn0024992	Spg7
FBgn0000092	FBgn0000092	dyw
FBgn0025838	FBgn0025838	CG2652
FBgn0011276	FBgn0011276	HLH3B
FBgn0004647	FBgn0004647	N
FBgn0040396	FBgn0040396	CG3939
FBgn0000479	FBgn0000479	dnc
FBgn0002933	FBgn0002933	ng1
FBgn0003374	FBgn0003374	Sgs4
FBgn0029660	FBgn0029660	CG10801
FBgn0029662	FBgn0029662	CG12206
FBgn0029661	FBgn0029661	CG16781
FBgn0029659	FBgn0029659	CG16782
FBgn0029658	FBgn0029658	CG14269
FBgn0052493	FBgn0052493	tRNA:Gln-TTG-2-1
FBgn0029657	FBgn0029657	CG12535
FBgn0029656	FBgn0029656	CG10793
FBgn0003086	FBgn0003086	Pig1
FBgn0010296	FBgn0010296	ng4
FBgn0010295	FBgn0010295	ng3
FBgn0010294	FBgn0010294	ng2
FBgn0040393	FBgn0040393	CG14265
FBgn0000644	FBgn0000644	Fcp3C
FBgn0028746	FBgn0028746	CG18508
FBgn0040355	FBgn0040355	CG3526
FBgn0052793	FBgn0052793	CG32793
FBgn0029642	FBgn0029642	CG3592
FBgn0025645	FBgn0025645	CG3598
FBgn0029643	FBgn0029643	CG14420
FBgn0029644	FBgn0029644	CG14421
FBgn0029645	FBgn0029645	CG14422
FBgn0029646	FBgn0029646	CG14423
FBgn0029647	FBgn0029647	CG17959
FBgn0029648	FBgn0029648	CG3603
FBgn0028369	FBgn0028369	kirre
FBgn0029649	FBgn0029649	CG4116
FBgn0003285	FBgn0003285	rst
FBgn0025644	FBgn0025644	CG14424
FBgn0029639	FBgn0029639	CG14419
FBgn0040354	FBgn0040354	CG14418
FBgn0040353	FBgn0040353	CG14417
FBgn0040352	FBgn0040352	CG14416
FBgn0029664	FBgn0029664	CG10802
FBgn0029666	FBgn0029666	CG10803
FBgn0029669	FBgn0029669	CG13021
FBgn0052792	FBgn0052792	ppk8
FBgn0044046	FBgn0044046	Ilp7
FBgn0023215	FBgn0023215	Mnt
FBgn0015286	FBgn0015286	Rala
FBgn0023216	FBgn0023216	Parg
FBgn0029672	FBgn0029672	CG2875
FBgn0052791	FBgn0052791	DIP-alpha
FBgn0029667	FBgn0029667	Gas8
FBgn0029665	FBgn0029665	CG14270
FBgn0029663	FBgn0029663	CG10804
FBgn0052785	FBgn0052785	tRNA:Gln-CTG-2-1
FBgn0025118	FBgn0025118	tRNA:Pro-CGG-3-1
FBgn0028491	FBgn0028491	CG2930
FBgn0028665	FBgn0285910	VhaAC39-1
FBgn0029681	FBgn0029681	CG15239
FBgn0029686	FBgn0029686	Glos
FBgn0052786	FBgn0052786	Gem4b
FBgn0052783	FBgn0052783	Gem4c
FBgn0029687	FBgn0029687	Vap33
FBgn0029690	FBgn0029690	CG6414
FBgn0029689	FBgn0029689	CG6428
FBgn0029688	FBgn0029688	lva
FBgn0029685	FBgn0029685	CG2938
FBgn0019661	FBgn0019661	lncRNA:roX1
FBgn0029694	FBgn0029694	CG15375
FBgn0000221	FBgn0000221	brn
FBgn0026084	FBgn0026084	cib
FBgn0026085	FBgn0026085	dgt4
FBgn0026083	FBgn0026083	tyf
FBgn0066114	FBgn0066114	GlcAT-I
FBgn0029697	FBgn0029697	CG15570
FBgn0029701	FBgn0029701	CG12691
FBgn0029702	FBgn0029702	CG15572
FBgn0029706	FBgn0029706	CG3626
FBgn0029707	FBgn0029707	CG12688
FBgn0029705	FBgn0029705	CG12693
FBgn0040907	FBgn0040907	mRpL33
FBgn0002707	FBgn0002707	mei-9
FBgn0040906	FBgn0040906	CG15579
FBgn0029703	FBgn0029703	CG12692
FBgn0040905	FBgn0040905	CG15578
FBgn0040904	FBgn0040904	CG15577
FBgn0029700	FBgn0029700	CG15576
FBgn0052774	FBgn0052774	Muc4B
FBgn0041252	FBgn0041252	Femcoat
FBgn0029696	FBgn0029696	CG15571
FBgn0000635	FBgn0000635	Fas2
FBgn0026080	FBgn0026080	Tip60
FBgn0026079	FBgn0026079	Nsun2
FBgn0004832	FBgn0004832	Xpac
FBgn0029693	FBgn0029693	CG6379
FBgn0000179	FBgn0000179	bi
FBgn0029708	FBgn0029708	CG3556
FBgn0029709	FBgn0029709	CHOp24
FBgn0029710	FBgn0029710	CG3568
FBgn0029712	FBgn0029712	CG15912
FBgn0029714	FBgn0029714	CG3527
FBgn0029716	FBgn0029716	CG3546
FBgn0022768	FBgn0022768	Pp2C1
FBgn0029715	FBgn0029715	CG11444
FBgn0029713	FBgn0029713	CG11436
FBgn0029711	FBgn0029711	Usf
FBgn0003210	FBgn0003210	rb
FBgn0052773	FBgn0052773	lncRNA:CR32773
FBgn0011760	FBgn0011760	ctp
FBgn0028325	FBgn0028325	Pdha
FBgn0029722	FBgn0029722	CG7024
FBgn0029727	FBgn0029727	CG6978
FBgn0029729	FBgn0029729	CG12682
FBgn0029730	FBgn0029730	boil
FBgn0029733	FBgn0029733	CG6927
FBgn0052772	FBgn0052772	CG32772
FBgn0029737	FBgn0029737	CG6903
FBgn0004368	FBgn0004368	Ptp4E
FBgn0029740	FBgn0029740	CG12680
FBgn0061196	FBgn0061196	CG15468
FBgn0029728	FBgn0029728	CG2861
FBgn0029726	FBgn0029726	CG15471
FBgn0029725	FBgn0029725	CG2871
FBgn0025679	FBgn0025679	Klf15
FBgn0029724	FBgn0029724	CG15472
FBgn0029745	FBgn0029745	Rpn13R
FBgn0029746	FBgn0029746	CG15465
FBgn0003449	FBgn0003449	snf
FBgn0011761	FBgn0011761	dhd
FBgn0029753	FBgn0029753	CG4198
FBgn0029755	FBgn0029755	Sas10
FBgn0014024	FBgn0014024	Rnp4F
FBgn0029754	FBgn0029754	CG15930
FBgn0029752	FBgn0029752	TrxT
FBgn0029751	FBgn0029751	CG17764
FBgn0029750	FBgn0029750	CG3323
FBgn0029747	FBgn0029747	CG5062
FBgn0052767	FBgn0052767	CG32767
FBgn0024332	FBgn0284442	Mcm3
FBgn0026751	FBgn0026751	XRCC1
FBgn0010014	FBgn0010014	CanB
FBgn0029761	FBgn0029761	SK
FBgn0029763	FBgn0029763	Usp16-45
FBgn0029765	FBgn0029765	CG16756
FBgn0029766	FBgn0029766	CG15784
FBgn0029768	FBgn0029768	SPR
FBgn0029770	FBgn0029770	CG4151
FBgn0029771	FBgn0029771	CG12730
FBgn0026702	FBgn0026702	Pop1
FBgn0004687	FBgn0004687	Mlc-c
FBgn0029778	FBgn0029778	RhoGAP5A
FBgn0052762	FBgn0052762	CG32762
FBgn0029769	FBgn0029769	frma
FBgn0029762	FBgn0029762	NAAT1
FBgn0029756	FBgn0029756	CG3309
FBgn0028474	FBgn0028474	CG4119
FBgn0029785	FBgn0029785	RpL35
FBgn0003747	FBgn0003747	Gr5a
FBgn0000394	FBgn0000394	cv
FBgn0029791	FBgn0029791	AdamTS-B
FBgn0029795	FBgn0029795	CG15773
FBgn0029798	FBgn0029798	CG4078
FBgn0029799	FBgn0029799	CG15772
FBgn0029801	FBgn0029801	CG15771
FBgn0029809	FBgn0029809	CG15767
FBgn0029810	FBgn0029810	CG12239
FBgn0029811	FBgn0029811	Cpr5C
FBgn0029812	FBgn0029812	Prosbeta2R1
FBgn0029814	FBgn0029814	CG15765
FBgn0052761	FBgn0052761	tRNA:Glu-CTC-6-1Psi
FBgn0029816	FBgn0029816	CG12729
FBgn0029817	FBgn0029817	CG15764
FBgn0029820	FBgn0029820	CG16721
FBgn0029821	FBgn0029821	CG4020
FBgn0029822	FBgn0029822	CG12236
FBgn0029823	FBgn0029823	Shmt
FBgn0029819	FBgn0029819	Usp30
FBgn0014340	FBgn0014340	mof
FBgn0029818	FBgn0029818	GAA1
FBgn0029813	FBgn0029813	AgmNAT
FBgn0029807	FBgn0029807	CG3108
FBgn0029804	FBgn0029804	CG3097
FBgn0013987	FBgn0013987	MAPk-Ak2
FBgn0029800	FBgn0029800	lin-52
FBgn0261383	FBgn0261383	IntS6
FBgn0052758	FBgn0052758	Snx27
FBgn0053080	FBgn0053080	CG33080
FBgn0027564	FBgn0027564	CG3149
FBgn0029789	FBgn0029789	PGAP1
FBgn0046687	FBgn0046687	Tre1
FBgn0015794	FBgn0015794	Rab18
FBgn0029783	FBgn0029783	Sirt4
FBgn0029824	FBgn0029824	CG3726
FBgn0029825	FBgn0029825	CG12728
FBgn0052756	FBgn0052756	CG32756
FBgn0029826	FBgn0029826	CG6041
FBgn0052755	FBgn0052755	CG32755
FBgn0029827	FBgn0029827	CG6048
FBgn0029828	FBgn0029828	CG6067
FBgn0029830	FBgn0029830	Grip
FBgn0029831	FBgn0029831	CG5966
FBgn0029833	FBgn0029833	MCTS1
FBgn0029834	FBgn0029834	CG5937
FBgn0029835	FBgn0029835	CG5921
FBgn0029843	FBgn0029843	Nep1
FBgn0029849	FBgn0029849	Efr
FBgn0003514	FBgn0003514	sqh
FBgn0029848	FBgn0029848	Btnd
FBgn0040069	FBgn0040069	vanin-like
FBgn0052751	FBgn0052751	CG32751
FBgn0052750	FBgn0052750	CG32750
FBgn0026060	FBgn0026060	Mipp2
FBgn0029840	FBgn0029840	raptor
FBgn0029839	FBgn0029839	CG4660
FBgn0029838	FBgn0029838	CG4666
FBgn0029837	FBgn0029837	Tsp5D
FBgn0003302	FBgn0003302	rux
FBgn0029003	FBgn0029003	mab-21
FBgn0027546	FBgn0027546	CG4766
FBgn0005390	FBgn0005390	fs(1)M3
FBgn0029851	FBgn0029851	CG14445
FBgn0015818	FBgn0015818	Spx
FBgn0029853	FBgn0029853	CG3781
FBgn0028982	FBgn0028982	Spt6
FBgn0029857	FBgn0029857	wuho
FBgn0029858	FBgn0029858	mldr
FBgn0029861	FBgn0029861	CG3815
FBgn0029863	FBgn0029863	CG3823
FBgn0029864	FBgn0029864	CG15894
FBgn0029866	FBgn0029866	CG3842
FBgn0029867	FBgn0029867	CG3847
FBgn0052748	FBgn0052748	tRNA:Phe-GAA-1-1
FBgn0029873	FBgn0029873	CG3918
FBgn0014031	FBgn0014031	Spat
FBgn0000524	FBgn0000524	dx
FBgn0014026	FBgn0014026	RpL7A
FBgn0029874	FBgn0029874	CG3342
FBgn0003139	FBgn0003139	PpV
FBgn0003655	FBgn0003655	swa
FBgn0016974	FBgn0016974	swaPsi
FBgn0029868	FBgn0029868	ND-B16.6
FBgn0043796	FBgn0043796	CG12219
FBgn0031295	FBgn0031295	CG4375
FBgn0031273	FBgn0031273	CG2839
FBgn0011244	FBgn0011244	Hsp60B
FBgn0031275	FBgn0031275	GABA-B-R3
FBgn0031276	FBgn0031276	CG12506
FBgn0040725	FBgn0040725	CG13946
FBgn0031277	FBgn0031277	CG13947
FBgn0041250	FBgn0041250	Gr21a
FBgn0031279	FBgn0031279	CG3544
FBgn0051658	FBgn0051658	Nnf1b
FBgn0031282	FBgn0031282	Pex12
FBgn0015621	FBgn0015621	Clp
FBgn0010583	FBgn0010583	dock
FBgn0020545	FBgn0020545	kraken
FBgn0031288	FBgn0031288	CG13949
FBgn0031289	FBgn0031289	CG13950
FBgn0002936	FBgn0002936	ninaA
FBgn0002563	FBgn0002563	Lsp1beta
FBgn0046113	FBgn0046113	GluRIIC
FBgn0003916	FBgn0003916	snRNA:U1:21D
FBgn0031292	FBgn0031292	CG15824
FBgn0020305	FBgn0020305	dbe
FBgn0029095	FBgn0029095	aru
FBgn0031287	FBgn0031287	CG4291
FBgn0020304	FBgn0020304	drongo
FBgn0031286	FBgn0031286	CG3862
FBgn0031284	FBgn0031284	PGAP2
FBgn0031283	FBgn0031283	CG15880
FBgn0031281	FBgn0031281	Saf6
FBgn0000442	FBgn0000442	Pkg21D
FBgn0026438	FBgn0026438	Eaat2
FBgn0040106	FBgn0040106	lectin-21Cb
FBgn0004611	FBgn0004611	Plc21C
FBgn0053127	FBgn0053127	CG33127
FBgn0000061	FBgn0000061	al
FBgn0003278	FBgn0003278	RpI135
FBgn0002593	FBgn0002593	RpLP1
FBgn0031254	FBgn0031254	CG13692
FBgn0031255	FBgn0031255	BBS8
FBgn0004583	FBgn0004583	ex
FBgn0031256	FBgn0031256	shv
FBgn0031257	FBgn0031257	CG4133
FBgn0027592	FBgn0027592	MED15
FBgn0003963	FBgn0003963	ush
FBgn0031263	FBgn0031263	Tspo
FBgn0031265	FBgn0031265	CG2794
FBgn0031266	FBgn0031266	Sf3b1
FBgn0031268	FBgn0031268	cold
FBgn0023489	FBgn0023489	Pph13
FBgn0010323	FBgn0010323	Gsc
FBgn0013323	FBgn0013323	Ptth
FBgn0031267	FBgn0031267	Ipk2
FBgn0021874	FBgn0021874	Nle
FBgn0031264	FBgn0031264	CG11835
FBgn0005660	FBgn0005660	Ets21C
FBgn0031260	FBgn0031260	Spp
FBgn0010602	FBgn0010602	lwr
FBgn0043364	FBgn0043364	cbt
FBgn0031258	FBgn0031258	CG4297
FBgn0015924	FBgn0015924	crq
FBgn0031253	FBgn0031253	CG11885
FBgn0031252	FBgn0031252	CG13690
FBgn0031251	FBgn0031251	CG4213
FBgn0031250	FBgn0031250	Ent1
FBgn0051921	FBgn0051921	CG31921
FBgn0031249	FBgn0031249	CG11911
FBgn0031248	FBgn0031248	CG11912
FBgn0067779	FBgn0067779	dbr
FBgn0031213	FBgn0031213	galectin
FBgn0031214	FBgn0031214	CG11374
FBgn0031216	FBgn0031216	Zir
FBgn0031217	FBgn0031217	CG11377
FBgn0001142	FBgn0001142	Gs1
FBgn0031224	FBgn0031224	CG11454
FBgn0031228	FBgn0031228	ND-15
FBgn0031229	FBgn0031229	CG3436
FBgn0031231	FBgn0031231	mRpL10
FBgn0031233	FBgn0031233	Tbc1d15-17
FBgn0031235	FBgn0031235	CG13693
FBgn0031240	FBgn0031240	CG3345
FBgn0003444	FBgn0003444	smo
FBgn0031247	FBgn0031247	CG11562
FBgn0024352	FBgn0024352	Stip1
FBgn0020622	FBgn0020622	Pi3K21B
FBgn0017457	FBgn0017457	U2af38
FBgn0025686	FBgn0025686	Amnionless
FBgn0031245	FBgn0031245	CG3625
FBgn0031244	FBgn0031244	CG11601
FBgn0031238	FBgn0031238	CG3645
FBgn0031239	FBgn0031239	CG17075
FBgn0031232	FBgn0031232	CG11617
FBgn0031227	FBgn0031227	CG3709
FBgn0051974	FBgn0051974	CG31974
FBgn0051975	FBgn0051975	CG31975
FBgn0051976	FBgn0051976	ovm
FBgn0031219	FBgn0031219	CG13694
FBgn0026787	FBgn0026787	Nhe1
FBgn0002931	FBgn0002931	net
FBgn0051973	FBgn0051973	Cda5
FBgn0031209	FBgn0031209	Ir21a
FBgn0002121	FBgn0002121	l(2)gl
FBgn0036970	FBgn0036970	Spn77Bc
FBgn0036974	FBgn0036974	eRF1
FBgn0036975	FBgn0036975	CG5618
FBgn0024887	FBgn0024887	kin17
FBgn0036977	FBgn0036977	CG5665
FBgn0001259	FBgn0001259	in
FBgn0036979	FBgn0036979	CG13247
FBgn0036980	FBgn0036980	RhoBTB
FBgn0036985	FBgn0036985	zye
FBgn0019947	FBgn0284421	Psn
FBgn0036991	FBgn0036991	CtIP
FBgn0036993	FBgn0036993	CG5910
FBgn0036996	FBgn0036996	mag
FBgn0036997	FBgn0036997	CG5955
FBgn0036998	FBgn0036998	CG5969
FBgn0036999	FBgn0036999	isoQC
FBgn0037001	FBgn0037001	ND-39
FBgn0052425	FBgn0052425	CG32425
FBgn0037003	FBgn0037003	CG18281
FBgn0037004	FBgn0037004	CG17637
FBgn0037005	FBgn0037005	CG5078
FBgn0037009	FBgn0037009	CG5104
FBgn0037011	FBgn0037011	CG4858
FBgn0037013	FBgn0037013	CG13250
FBgn0001323	FBgn0001323	knrl
FBgn0037012	FBgn0037012	Rcd2
FBgn0037010	FBgn0287585	Pss
FBgn0037008	FBgn0037008	mTerf3
FBgn0037007	FBgn0037007	BNIP3
FBgn0037000	FBgn0037000	ZnT77C
FBgn0052428	FBgn0052428	CG32428
FBgn0036995	FBgn0036995	atk
FBgn0036994	FBgn0036994	CG5199
FBgn0036992	FBgn0036992	Hpd
FBgn0036990	FBgn0036990	mRpL15
FBgn0029158	FBgn0029158	Las
FBgn0036988	FBgn0036988	CG5262
FBgn0036987	FBgn0036987	CG5274
FBgn0036986	FBgn0036986	CG5282
FBgn0036984	FBgn0036984	CG13248
FBgn0028978	FBgn0028978	trbl
FBgn0027565	FBgn0027565	CG5498
FBgn0001247	FBgn0001247	Ide
FBgn0036978	FBgn0036978	Toll-9
FBgn0036973	FBgn0036973	Rbbp5
FBgn0037014	FBgn0037014	CG13251
FBgn0037016	FBgn0037016	CG13252
FBgn0040634	FBgn0040634	CG4186
FBgn0016696	FBgn0016696	Pitslre
FBgn0037020	FBgn0037020	Pex14
FBgn0037024	FBgn0037024	tzn
FBgn0037025	FBgn0037025	Spc105R
FBgn0037027	FBgn0037027	HIPP1
FBgn0037030	FBgn0037030	CG3288
FBgn0040636	FBgn0040636	CG13255
FBgn0037031	FBgn0037031	CG11456
