Chr	Start	End	Strand	Length
FBgn0002579	X;X;X	628338;628751;629291	628686;628894;629483	-;-;-	686
FBgn0026879	X;X	624757;625166	625105;625203	-;-	387
FBgn0029529	X	620717	621215	-	499
FBgn0025633	X;X;X;X;X;X;X;X;X;X;X;X;X;X	585081;608440;610549;611411;611751;612092;612282;612496;613847;614573;614774;617275;619292;620039	585229;608514;611341;611685;612033;612211;612433;613774;614023;614713;615970;617582;619723;620195	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5538
FBgn0040892	X;X	862608;862736	862658;863200	+;+	516
FBgn0040341	X	875732	876612	+	881
FBgn0029539	X;X	894482;894590	894517;895200	+;+	647
FBgn0040339	X;X;X	928139;928384;928550	928327;928485;928860	+;+;+	602
FBgn0052815	X;X;X;X	932466;933425;934541;937941	933330;934474;934681;939424	+;+;+;+	3540
FBgn0040340	X;X;X	935232;935858;936330	935838;936260;937822	+;+;+	2503
FBgn0040347	X	941075	943229	+	2155
FBgn0042146	X	990518	991184	+	667
FBgn0029552	X	1012035	1012624	+	590
FBgn0040337	X;X	1026791;1027635	1027546;1028290	+;+	1412
FBgn0040398	X	1051525	1052631	+	1107
FBgn0040365	X	1145644	1146132	+	489
FBgn0040397	X;X;X;X;X;X;X;X	1073041;1076433;1077210;1081037;1088672;1102347;1119685;1134185	1076300;1077097;1077512;1082439;1088765;1102401;1119785;1134896	-;-;-;-;-;-;-;-	6593
FBgn0026143	X;X	1028291;1029417	1029364;1030556	-;-	2214
FBgn0040351	X;X;X;X;X	1013984;1015140;1015469;1016521;1026514	1015079;1015349;1016246;1016708;1026703	-;-;-;-;-	2462
FBgn0040338	X;X	1011101;1011474	1011392;1011643	-;-	462
FBgn0040350	X;X;X;X;X;X;X;X	948585;949544;949733;949958;950364;950658;951197;951440	949485;949671;949892;950250;950599;950839;951375;951900	-;-;-;-;-;-;-;-	2540
FBgn0040349	X	946662	947500	-	839
FBgn0040348	X;X;X	942474;943302;944396	942796;944096;945773	-;-;-	2496
FBgn0040346	X;X;X	939170;939733;940152	939676;940086;940805	-;-;-	1515
FBgn0040342	X	930931	932475	-	1545
FBgn0040345	X	928798	930098	-	1301
FBgn0040343	X	846171	847157	-	987
FBgn0052814	X;X;X	1019795;1020892;1026514	1020568;1021594;1026700	-;-;-	1664
FBgn0040364	X;X;X	1170828;1171270;1171816	1171171;1171698;1173797	+;+;+	2755
FBgn0040362	X	1180165	1181551	+	1387
FBgn0040361	X;X;X	1181620;1181868;1182102	1181801;1182030;1183502	+;+;+	1746
FBgn0040360	X;X;X	1184778;1186759;1187851	1185087;1187126;1188585	+;+;+	1413
FBgn0040359	X;X;X	1191308;1194198;1194664	1191713;1194595;1196660	+;+;+	2801
FBgn0040358	X;X;X	1199546;1200625;1200928	1199671;1200847;1203157	+;+;+	2579
FBgn0029568	X;X	1203777;1203934	1203879;1205433	+;+	1603
FBgn0040357	X	1206737	1207555	+	819
FBgn0040367	X	1209970	1211853	+	1884
FBgn0025642	X;X	1287290;1287966	1287934;1288945	+;+	1625
FBgn0004650	X;X;X;X;X;X;X	1322513;1322773;1324868;1325055;1325244;1327069;1327338	1322714;1324809;1324997;1325185;1327014;1327277;1329438	+;+;+;+;+;+;+	6581
FBgn0024362	X;X;X	1342106;1343290;1343779	1343214;1343535;1344770	+;+;+	2347
FBgn0024361	X;X;X	1346553;1347085;1347269	1346679;1347119;1348143	+;+;+	1037
FBgn0024364	X	1354014	1356473	+	2460
FBgn0029573	X;X	1369249;1369613	1369374;1370176	+;+	690
FBgn0024987	X;X;X;X;X;X	1370580;1371231;1371451;1371874;1372086;1372461	1370663;1371370;1371774;1372022;1372267;1375257	+;+;+;+;+;+	3676
FBgn0023169	X;X	1375536;1376696	1376187;1378896	+;+	2853
FBgn0052813	X;X;X;X;X;X	1380914;1384525;1385904;1386523;1388568;1390249	1381126;1384625;1386362;1386916;1390057;1392843	+;+;+;+;+;+	5252
FBgn0024985	X;X;X;X	1393054;1394224;1395083;1395246	1394158;1394714;1395193;1397337	+;+;+;+	3799
FBgn0027794	X;X	1457175;1458263	1458201;1460617	-;-	3382
FBgn0027795	X;X;X	1455215;1455750;1456023	1455695;1455949;1457054	-;-;-	1713
FBgn0024986	X;X	1378885;1380138	1379372;1380480	-;-	831
FBgn0000826	X	1356488	1357601	-	1114
FBgn0024365	X;X;X;X;X;X;X	1349623;1351102;1351345;1351994;1352286;1352654;1353253	1351037;1351280;1351926;1352228;1352487;1353198;1353981	-;-;-;-;-;-;-	3887
FBgn0024360	X;X;X;X	1344872;1346175;1348222;1349144	1346120;1346299;1349077;1349357	-;-;-;-	2444
FBgn0024366	X;X;X;X	1329518;1333503;1337900;1341325	1333436;1333717;1338222;1341587	-;-;-;-	4720
FBgn0025641	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	1289713;1291405;1291626;1291844;1292052;1292321;1293080;1293318;1294564;1295010;1304104;1304766;1308076;1309859;1316075;1322200	1291344;1291568;1291787;1291986;1292257;1293016;1293257;1294286;1294687;1295936;1304360;1304845;1308472;1309900;1316161;1322362	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6227
FBgn0052811	X	1297984	1298387	-	404
FBgn0028550	X;X;X;X;X	1242740;1251172;1251340;1259959;1274426	1248008;1251261;1252096;1260008;1275284	-;-;-;-;-	7025
FBgn0026876	X;X;X	1236873;1237766;1238028	1237707;1237963;1239884	-;-;-	2890
FBgn0040366	X;X	1211989;1214943	1214792;1215156	-;-	3018
FBgn0040363	X	1173877	1176035	-	2159
FBgn0040368	X;X	1158599;1162286	1160132;1162389	-;-	1638
FBgn0026872	X;X;X;X;X;X	1466134;1467493;1467697;1468052;1468251;1468447	1466933;1467617;1467964;1468185;1468382;1468692	+;+;+;+;+;+	1705
FBgn0029580	X;X;X;X;X	1467493;1469805;1470015;1470157;1470402	1467617;1469953;1470097;1470339;1470614	+;+;+;+;+	753
FBgn0025383	X;X;X	1472522;1472876;1473236	1472816;1473170;1473727	+;+;+	1082
FBgn0025381	X;X	1478552;1481008	1480859;1481420	+;+	2721
FBgn0025394	X;X;X;X;X;X;X	1483479;1510754;1512065;1514483;1514727;1514857;1515378	1483558;1511100;1513648;1514668;1514792;1515041;1517615	+;+;+;+;+;+;+	4686
FBgn0000482	X;X;X;X;X	1665052;1665474;1666187;1667674;1667888	1665411;1666132;1667612;1667825;1668451	+;+;+;+;+	3161
FBgn0001189	X;X;X;X	1669570;1670816;1671787;1672364	1669937;1671729;1672297;1673608	+;+;+;+	3038
FBgn0029587	X;X;X;X	1681566;1683321;1683829;1684078	1683266;1683760;1684024;1684891	+;+;+;+	3151
FBgn0024897	X;X;X;X;X	1686624;1688481;1688649;1688902;1689180	1687317;1688574;1688769;1689123;1690187	+;+;+;+;+	2139
FBgn0025391	X;X;X;X;X;X;X	1735945;1745878;1746687;1748032;1749697;1749895;1753716	1737163;1746579;1746810;1748293;1749817;1751021;1754065	-;-;-;-;-;-;-	3905
FBgn0025378	X;X;X	1708806;1709505;1709841	1709439;1709775;1710182	-;-;-	1247
FBgn0023130	X;X	1693615;1695532	1695474;1695889	-;-	2218
FBgn0023530	X;X	1668406;1668808	1668744;1669297	-;-	829
FBgn0025390	X;X;X;X;X;X;X;X;X;X;X	1523554;1552279;1552611;1554668;1557659;1557915;1584141;1604736;1618032;1664118;1668493	1524318;1552527;1554563;1557593;1557772;1558791;1584255;1604788;1618155;1664306;1668788	-;-;-;-;-;-;-;-;-;-;-	7661
FBgn0025393	X;X;X	1512227;1512413;1512661	1512357;1512595;1512803	-;-;-	457
FBgn0003517	X;X;X	1481797;1482673;1483111	1482480;1483023;1483413	-;-;-	1338
FBgn0044508	X	1482492	1482590	-	99
FBgn0025382	X;X;X	1473884;1474675;1476256	1474510;1474892;1476974	-;-;-	1564
FBgn0052808	X;X	1468693;1469161	1469098;1469817	-;-	1063
FBgn0027791	X	1464363	1465996	-	1634
FBgn0027793	X	1460807	1461676	-	870
FBgn0052806	X;X	1789566;1789730	1789679;1790418	+;+	803
FBgn0026873	X;X;X	1865909;1866186;1866563	1866138;1866495;1866887	+;+;+	865
FBgn0023513	X;X;X	1868870;1869298;1869944	1869242;1869878;1872408	+;+;+	3419
FBgn0014411	X;X	1873853;1874361	1874281;1876474	+;+	2543
FBgn0023514	X;X	1877317;1878255	1878197;1879077	+;+	1704
FBgn0029594	X;X;X	1880282;1880683;1881020	1880623;1880946;1881432	+;+;+	1019
FBgn0023519	X;X;X	1890256;1890478;1890613	1890395;1890543;1891482	+;+;+	1076
FBgn0023509	X;X	1908239;1916977	1908355;1920318	+;+	3459
FBgn0023510	X;X	1908920;1910641	1909450;1916825	+;+	6716
FBgn0023508	X;X;X;X;X;X;X;X;X	1922981;1924099;1924528;1924851;1925103;1925503;1926446;1926694;1926979	1923865;1924285;1924789;1925036;1925435;1926379;1926632;1926918;1927524	+;+;+;+;+;+;+;+;+	3688
FBgn0023522	X;X;X;X;X;X;X	1927683;1928172;1928334;1929001;1929244;1929454;1929773	1927919;1928265;1928580;1929170;1929384;1929711;1930517	+;+;+;+;+;+;+	1892
FBgn0023521	X;X;X	1940307;1940710;1941124	1940651;1941056;1941536	+;+;+	1105
FBgn0025627	X	2068592	2069688	+	1097
FBgn0025630	X;X	2072413;2073134	2072725;2074890	+;+	2070
FBgn0025629	X;X;X;X	2074795;2075038;2075207;2075669	2074971;2075139;2075618;2075900	-;-;-;-	923
FBgn0025628	X;X;X;X;X;X	2066435;2070467;2071360;2071840;2072550;2073117	2068423;2070574;2071836;2072065;2072695;2073483	-;-;-;-;-;-	3313
FBgn0029596	X;X;X;X	2065273;2065758;2065945;2066149	2065703;2065891;2066088;2066359	-;-;-;-	920
FBgn0025626	X;X;X;X	2062313;2062947;2064547;2064874	2062891;2064488;2064820;2065142	-;-;-;-	2664
FBgn0025625	X;X;X;X;X;X;X;X;X	2055310;2056120;2057829;2057984;2058321;2059475;2059965;2060099;2061622	2056025;2057767;2057923;2058265;2059418;2059761;2060028;2060844;2061915	-;-;-;-;-;-;-;-;-	5230
FBgn0025631	X;X;X;X;X;X	2044292;2046016;2047051;2047558;2048239;2049196	2045949;2046983;2047191;2047647;2048395;2050120	-;-;-;-;-;-	3939
FBgn0026878	X;X	2042730;2043606	2043413;2043818	-;-	897
FBgn0000667	X;X;X;X;X;X;X;X;X;X;X;X;X;X	2023822;2025775;2027184;2027284;2027521;2027935;2028665;2029775;2030215;2030443;2034955;2036407;2036581;2042047	2025699;2026909;2027189;2027462;2027871;2028027;2028750;2029926;2030368;2030859;2035411;2036466;2036619;2042311	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5272
FBgn0003964	X;X;X	2038798;2041461;2042047	2041386;2041644;2042311	-;-;-	3038
FBgn0023545	X;X;X;X;X	2007911;2008129;2008351;2008514;2008710	2008068;2008289;2008461;2008631;2009364	-;-;-;-;-	1203
FBgn0023520	X	1937700	1940040	-	2341
FBgn0023512	X;X;X;X;X	1920166;1920829;1921181;1922543;1922731	1920767;1921115;1922469;1922667;1922874	-;-;-;-;-	2447
FBgn0023511	X;X;X;X;X;X	1903704;1904322;1906306;1907495;1908245;1908350	1904281;1906235;1907434;1908121;1908270;1908827	-;-;-;-;-;-	4752
FBgn0052801	X;X	1902082;1902622	1902462;1903177	-;-	937
FBgn0023518	X;X;X;X;X;X	1881313;1882319;1882556;1882742;1883417;1884007	1882248;1882501;1882685;1883337;1883941;1889950	-;-;-;-;-;-	8314
FBgn0026088	X;X;X	1879019;1879412;1879656	1879350;1879580;1879774	-;-;-	620
FBgn0026089	X;X	1876294;1876969	1876911;1877270	-;-	920
FBgn0023517	X;X	1872400;1872973	1872906;1873565	-;-	1100
FBgn0023516	X	1866832	1869061	-	2230
FBgn0023515	X;X;X;X;X	1862009;1862703;1863027;1863769;1864170	1862643;1862960;1863705;1864107;1865835	-;-;-;-;-	3577
FBgn0028969	X;X;X;X;X;X;X;X	1859141;1859871;1860057;1860427;1860686;1861156;1861446;1861595	1859813;1859982;1860370;1860624;1861098;1861379;1861485;1861790	-;-;-;-;-;-;-;-	2170
FBgn0026090	X;X;X;X	1857889;1858561;1858736;1858868	1858406;1858678;1858797;1858971	-;-;-;-	802
FBgn0029590	X;X	1821469;1822236	1822171;1822381	-;-	849
FBgn0025624	X;X;X;X	2076966;2077218;2077452;2077908	2077147;2077339;2077839;2078455	+;+;+;+	1240
FBgn0040395	X;X;X;X;X;X	2080610;2089336;2090969;2091518;2091802;2091962	2081659;2089606;2091450;2091733;2091891;2093948	+;+;+;+;+;+	4096
FBgn0000382	X;X;X;X;X;X;X;X;X;X;X;X	2094234;2095010;2095270;2102289;2108249;2108380;2109235;2109483;2109729;2110745;2110950;2111205	2094940;2095197;2095396;2103775;2108294;2108542;2109414;2109600;2110666;2110835;2111139;2115701	+;+;+;+;+;+;+;+;+;+;+;+	8732
FBgn0023507	X;X;X;X;X;X;X	2141489;2141899;2142687;2142992;2143311;2143527;2144287	2141606;2142002;2142929;2143248;2143452;2144220;2144937	+;+;+;+;+;+;+	2209
FBgn0004654	X;X;X	2145136;2145490;2147175	2145414;2145713;2148566	+;+;+	1895
FBgn0023540	X;X;X;X;X	2162196;2166809;2168069;2170789;2171155	2162278;2167167;2168233;2171085;2172281	+;+;+;+;+	2031
FBgn0025839	X;X	2172526;2172806	2172705;2173432	+;+	807
FBgn0011576	X;X;X;X;X	2176006;2177151;2177594;2177721;2178337	2177063;2177537;2177663;2178280;2178728	+;+;+;+;+	2467
FBgn0015036	X;X;X;X	2179007;2179317;2179826;2180420	2179262;2179770;2180358;2180998	+;+;+;+	1822
FBgn0003116	X;X	2181211;2181416	2181347;2182916	+;+	1638
FBgn0040899	X	2184725	2185258	+	534
FBgn0040900	X;X	2186855;2187148	2186940;2187741	+;+	680
FBgn0024984	X	2187820	2188919	+	1100
FBgn0023549	X;X;X;X;X;X;X;X;X;X	2189188;2194581;2198632;2199820;2200005;2200675;2200936;2204107;2204509;2204765	2189429;2195039;2198943;2199939;2200606;2200869;2201061;2204437;2204709;2205373	+;+;+;+;+;+;+;+;+;+	3197
FBgn0029606	X;X;X	2223754;2223938;2224260	2223868;2224005;2224969	+;+;+	893
FBgn0003048	X;X;X;X;X;X;X;X;X;X	2225296;2225906;2226282;2227322;2230390;2231998;2232220;2232680;2233083;2235579	2225863;2226227;2227232;2230333;2231847;2232158;2232619;2233026;2235515;2238045	+;+;+;+;+;+;+;+;+;+	12119
FBgn0000810	X;X	2242138;2244457	2243604;2246041	+;+	3052
FBgn0023523	X;X	2246231;2247444	2247373;2247567	+;+	1267
FBgn0023527	X;X	2262837;2263057	2262988;2264825	+;+	1921
FBgn0040391	X;X	2327128;2327780	2327608;2328941	+;+	1643
FBgn0053218	X;X	2330159;2330413	2330355;2330826	+;+	611
FBgn0003079	X;X;X;X;X;X;X	2295466;2296154;2339991;2341178;2342204;2342413;2342852	2295958;2296353;2341048;2342139;2342344;2342786;2343870	+;+;+;+;+;+;+	4247
FBgn0003159	X;X;X;X;X;X;X	2344949;2348945;2349327;2349781;2353704;2354707;2365906	2348877;2349247;2349613;2349875;2354268;2354726;2366356	-;-;-;-;-;-;-	5650
FBgn0040389	X	2343997	2344649	-	653
FBgn0044047	X;X;X;X;X	2331493;2331926;2332276;2332539;2333320	2331847;2332139;2332408;2332910;2334658	-;-;-;-;-	2413
FBgn0040392	X;X	2324748;2325391	2325305;2326217	-;-	1385
FBgn0023526	X;X	2278031;2292325	2282517;2293411	-;-	5574
FBgn0023529	X;X;X;X	2271008;2274026;2274650;2274875	2273951;2274339;2274778;2275068	-;-;-;-	3581
FBgn0023528	X;X;X;X;X;X;X;X;X	2264657;2265877;2266036;2266248;2266597;2266820;2267177;2268938;2270638	2265816;2265955;2266184;2266539;2266671;2267107;2267293;2269717;2270761	-;-;-;-;-;-;-;-;-	3064
FBgn0027296	X;X;X	2260207;2261466;2261951	2261415;2261854;2262515	-;-;-	2163
FBgn0023524	X;X;X;X;X	2254403;2256160;2257880;2258328;2259721	2256101;2257498;2258266;2258741;2259863	-;-;-;-;-	3982
FBgn0023525	X;X;X;X;X;X	2250145;2250444;2250647;2251013;2251195;2251672	2250387;2250580;2250949;2251094;2251354;2251993	-;-;-;-;-;-	1247
FBgn0000377	X;X	2247594;2249828	2249769;2249983	-;-	2332
FBgn0001330	X;X;X;X;X	2237858;2238234;2238499;2241568;2241828	2238173;2238436;2241506;2241759;2242035	-;-;-;-;-	3927
FBgn0004397	X;X;X;X;X;X;X	2214347;2215255;2215713;2215905;2220373;2222160;2222473	2215122;2215653;2215843;2218095;2220524;2222348;2222567	-;-;-;-;-;-;-	3933
FBgn0023550	X;X;X;X;X;X	2201820;2202060;2202273;2202899;2203133;2203289	2202005;2202206;2202843;2203008;2203221;2203866	-;-;-;-;-;-	1681
FBgn0029603	X;X	2191639;2193478	2193059;2193909	-;-	1853
FBgn0023542	X;X	2182818;2183610	2183549;2184668	-;-	1791
FBgn0023541	X;X;X	2173415;2174464;2175065	2174400;2174920;2175315	-;-;-	1694
FBgn0005670	X;X;X;X	2159145;2159625;2160383;2161581	2159564;2160248;2161023;2162180	-;-;-;-	2285
FBgn0004655	X;X;X;X;X;X;X;X;X	2149936;2151272;2151523;2151677;2151917;2153114;2155788;2156389;2158293	2151152;2151462;2151611;2151846;2152759;2155726;2155902;2157513;2158983	-;-;-;-;-;-;-;-;-	7054
FBgn0013432	X;X;X	2148463;2149221;2149402	2148843;2149341;2149647	-;-;-	748
FBgn0004861	X;X;X;X;X;X	2126210;2127624;2129467;2129979;2136017;2137658	2127560;2129407;2129917;2131726;2136855;2138371	-;-;-;-;-;-	6887
FBgn0004860	X;X;X;X;X;X	2115727;2117681;2119551;2120063;2121687;2122982	2117617;2119491;2120001;2121624;2121792;2123286	-;-;-;-;-;-	6126
FBgn0040394	X;X;X	2078343;2078832;2079715	2078774;2079644;2080405	-;-;-	1936
FBgn0040376	X;X;X;X	2580958;2582477;2582704;2582989	2581112;2582575;2582826;2583823	+;+;+;+	1212
FBgn0040066	X;X;X	2585980;2586761;2587441	2586549;2587386;2588217	+;+;+	1973
FBgn0001404	X;X;X;X;X	2588503;2592121;2593577;2595726;2597327	2589506;2592348;2593931;2597015;2599111	+;+;+;+;+	4662
FBgn0040336	X;X;X	2619799;2620825;2621379	2620593;2621312;2622140	+;+;+	2045
FBgn0040333	X;X	2622069;2623595	2623514;2624575	-;-	2427
FBgn0040334	X;X;X	2617758;2618869;2619116	2618761;2619039;2619738	-;-;-	1798
FBgn0029629	X;X	2609247;2610246	2610182;2610336	-;-	1027
FBgn0011566	X;X;X;X;X	2606680;2607262;2607970;2608171;2608471	2607196;2607724;2608103;2608412;2608876	-;-;-;-;-	1762
FBgn0011606	X;X;X;X;X;X	2599158;2599779;2600359;2602694;2602919;2603680	2599718;2600275;2602622;2602845;2603598;2604052	-;-;-;-;-;-	4527
FBgn0040375	X;X;X;X;X	2583745;2584463;2584667;2584998;2585651	2584395;2584602;2584935;2585412;2585699	-;-;-;-;-	1524
FBgn0040377	X;X;X;X	2579091;2579577;2579996;2580174	2579515;2579940;2580113;2580560	-;-;-;-	1294
FBgn0040388	X;X;X;X;X;X;X;X;X;X;X	2444167;2445861;2446411;2446642;2446890;2447657;2450670;2450903;2456591;2469337;2469605	2445593;2446181;2446577;2446824;2447597;2447892;2450838;2452147;2456686;2469411;2470043	-;-;-;-;-;-;-;-;-;-;-	5066
FBgn0003714	X;X	2442313;2443734	2443665;2443976	-;-	1596
FBgn0001150	X;X	2427113;2428801	2428725;2428967	-;-	1780
FBgn0052797	X	2424925	2425855	-	931
FBgn0040385	X	2409365	2410901	-	1537
FBgn0003371	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	2633952;2634215;2634827;2637425;2641125;2641590;2642754;2644973;2645376;2646637;2649736;2658766;2667810;2668166;2669634;2669913;2670174;2671121;2671308;2671629;2672067;2672914;2673175;2673906;2674597;2677101	2634178;2634254;2635031;2637553;2641361;2642093;2643732;2645279;2645418;2646871;2649739;2661093;2667839;2668831;2669753;2670103;2670257;2671231;2671545;2671822;2672123;2673103;2673618;2674273;2676657;2679553	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12445
FBgn0003068	X;X;X;X;X;X;X;X	2685580;2688197;2688400;2689504;2689923;2691708;2692009;2692208	2685900;2688339;2689439;2689860;2691637;2691944;2692149;2692780	+;+;+;+;+;+;+;+	4527
FBgn0024993	X;X;X	2698701;2699044;2699842	2698978;2699338;2701033	+;+;+	1765
FBgn0024996	X;X;X;X;X	2704571;2704837;2704993;2705540;2705994	2704773;2704923;2705449;2705925;2706217	+;+;+;+;+	1357
FBgn0024997	X;X;X	2708684;2710320;2710971	2709686;2710901;2711668	+;+;+	2283
FBgn0024991	X;X;X;X;X;X	2714079;2714511;2714777;2715338;2715514;2716766	2714453;2714606;2715280;2715433;2716705;2717654	+;+;+;+;+;+	3152
FBgn0000928	X;X;X;X	2720468;2720909;2723188;2723568	2720849;2723125;2723499;2724158	+;+;+;+	3502
FBgn0000927	X;X	2724286;2724443	2724385;2726577	+;+	2235
FBgn0000520	X;X;X	2727698;2728545;2728997	2728263;2728934;2730042	+;+;+	2002
FBgn0024975	X;X;X	2732469;2733231;2733556	2733170;2733485;2734402	+;+;+	1804
FBgn0040356	X	2809881	2810846	+	966
FBgn0003996	X;X;X;X;X;X	2790599;2791414;2791749;2792126;2792855;2796237	2791343;2791545;2792064;2792780;2793128;2796466	-;-;-;-;-;-	2352
FBgn0040384	X;X;X;X;X;X;X;X;X;X	2782906;2783767;2784270;2784548;2785000;2788494;2789238;2789709;2790059;2790245	2783425;2784146;2784487;2784687;2785129;2788612;2789439;2789942;2790157;2790567	-;-;-;-;-;-;-;-;-;-	2365
FBgn0024980	X;X;X;X;X;X;X;X	2739089;2739297;2741423;2741589;2741898;2742561;2742917;2743451	2739232;2739545;2741496;2741831;2741991;2742797;2742958;2744076	-;-;-;-;-;-;-;-	1709
FBgn0000376	X;X;X;X;X;X;X	2734248;2735177;2735396;2735837;2737470;2737922;2738668	2735104;2735328;2735768;2737413;2737673;2738538;2738773	-;-;-;-;-;-;-	3886
