FLYBASE	FLYBASECG	SYMBOL	GENENAME	RhythmicityChange	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0037602	CG8021	SLIRP2	SRA stem-loop interacting RNA binding protein 2	LOSS	7.983714005	6.615700973	5.042669102	6.129094578	7.462054624	9.335135331	6.24864215	5.061240041	5.266574516	8.012792093	7.521369067	7.788548267	7.623849128	5.565821063	6.232446925	7.468393056	7.56954584	5.834328794	6.750645591	7.364204721	3.085141079	8.303441449	5.721076127	6.922223185
FBgn0035171	CG12502	CG12502	uncharacterized protein	LOSS	19.18719692	19.81118136	17.00696295	18.08819138	17.73163337	17.68879088	18.92412166	19.85213514	18.13594814	18.83190623	16.39509757	14.5952647	17.98404827	17.34969938	17.0861773	16.41986115	17.3609978	17.42759825	16.53365981	17.16195851	17.21560767	18.59642083	16.90686761	17.09044606
FBgn0000287	CG4881	salr	spalt-related	LOSS	6.001044627	6.030873063	5.549537633	5.394723989	6.336995329	6.626344795	7.044521306	5.981472576	5.493150111	5.751063349	5.598229993	6.558059803	6.40176312	5.337751634	6.212088649	5.396815926	6.062848079	5.569217193	5.601086311	5.193138524	5.699135768	5.152356117	5.499174223	6.071028757
FBgn0037046	CG10581	CG10581	uncharacterized protein	LOSS	7.74031923	8.086482876	6.920689954	6.174474455	5.976423533	7.621108735	9.294702422	7.2206462	4.904703126	4.855933478	6.960790027	9.373611228	9.375009426	6.457271686	6.952959315	7.377514582	7.245252722	8.926376333	9.872244164	7.603660011	6.526173341	9.796753402	8.417067672	8.524767815
FBgn0035290	CG1887	dsb	debris buster	LOSS	30.78297689	30.64626186	25.04261802	17.77313357	29.67366751	29.69206863	28.87814639	24.04986402	21.6938212	21.98556344	32.51012814	28.70516237	25.8178533	28.35043556	16.9099163	14.3752528	27.24020016	23.20083965	25.29641591	32.87022982	21.34082551	20.63064637	28.19963056	27.11683459
FBgn0029930	CG12541	CG12541	uncharacterized protein	LOSS	9.8908851	9.495076607	8.060406752	7.031950831	8.081089444	7.861852867	10.07398285	9.095609947	9.000622356	7.278383997	8.32213167	8.508486162	8.930347057	9.359737694	10.52500675	8.406213638	10.074917	9.728824832	9.986497753	9.274202609	8.802838287	9.168366628	9.965664775	9.28790315
FBgn0020307	CG5799	dve	defective proventriculus	LOSS	5.50652609	6.072669318	5.54408273	4.310408169	5.631408262	5.904732808	5.924413291	7.357048788	5.544511856	4.632429766	5.149500072	5.786181237	5.220890106	6.115677454	6.086522007	4.974675181	5.289378647	5.557254543	5.146075773	5.446504601	5.487335866	4.672366216	4.785350477	5.344529119
FBgn0040765	CG33473	luna	luna	LOSS	2.352407886	2.211250817	2.076804859	1.903317186	1.764504816	2.025606167	2.041389069	2.573185699	2.294072299	2.337254381	1.812170495	2.074718404	1.56355308	2.042853861	2.056297585	1.976795411	1.884129035	2.139427828	1.673733629	2.052182923	1.995220111	1.874785239	1.880398748	1.810855078
FBgn0014464	CG33962	Cp7Fa	Chorion protein a at 7F	LOSS	2.128267521	2.201026874	2.07167279	1.309889153	1.540087169	1.684152726	2.020822208	1.837854255	1.698381061	0.982149933	1.194099252	1.712100267	2.258787363	2.171644624	2.404958948	1.609148995	1.632003238	1.948093313	1.883915343	1.652056533	1.924213285	1.78143481	1.449387991	1.84368073
FBgn0033792	CG13325	CG13325	uncharacterized protein	LOSS	1.559991997	1.747602721	1.149206507	1.028712275	1.100591489	1.144235278	1.52664387	1.453493888	1.492087479	0.992557203	1.0781715	1.155232121	1.645490516	1.503070573	1.484619937	1.678275738	1.337230916	1.146601942	1.391589612	1.483883553	0.957179202	1.434826683	1.247681496	1.19240615
FBgn0262741	CR43126	lncRNA:CR43126	long non-coding RNA:CR43126	LOSS	1.519015454	1.427000934	1.372337467	1.321507922	1.245399539	1.452373872	1.670604625	1.298322745	1.331275743	1.239708174	1.277921318	1.371050222	1.451284471	1.521319594	2.047390787	1.368262844	1.413757645	1.265885102	1.198811735	1.057280953	1.31320537	1.223597802	1.336718141	1.168079528
FBgn0038631	CG7695	CG7695	uncharacterized protein	LOSS	44.20265252	48.69540021	41.24415922	34.7971878	31.43323212	34.85914931	41.07653169	45.36173875	37.58514082	33.95115434	33.87465084	35.2330443	33.54289087	39.40329603	29.75451303	47.72012187	39.1443138	34.90120367	31.82629854	33.65538737	31.86389164	42.28793345	34.56779902	32.65541833
FBgn0036765	CG7408	CG7408	uncharacterized protein	LOSS	7.518610816	8.302301572	7.618113855	6.949370026	6.637957642	5.705830832	6.82251268	7.978133771	7.731630897	8.166338278	7.001917845	5.391505066	6.886288853	8.623513683	4.745473621	9.39428763	6.778526222	5.472101766	7.228177659	7.76913686	7.784223601	8.487306552	6.893528795	5.334796063
FBgn0037213	CG12581	CG12581	uncharacterized protein	LOSS	24.40541599	26.54382818	24.96054543	22.86636696	21.8118093	21.78132383	22.23176076	25.5318852	25.41287759	23.85984336	21.32403163	20.15129021	20.11398744	22.11168339	18.50877847	19.44064111	20.35373958	19.75996197	19.18803175	22.42002811	21.84561063	20.59761572	20.59896789	19.4957929
FBgn0027563	CG9631	CG9631	uncharacterized protein	LOSS	34.99798117	39.4483294	34.94511747	33.61777628	30.12287429	30.18756175	33.3970062	36.41182559	37.16178938	31.54144381	30.32684526	29.25967015	28.92466676	33.39258263	21.55381921	27.23021907	28.02890561	31.07781743	29.33825798	34.45703294	34.99291537	30.09887175	28.55287674	31.36447734
FBgn0036875	CG9449	CG9449	uncharacterized protein	LOSS	7.923484087	9.413753326	7.518161207	6.624994048	6.126301622	6.181689144	7.24590019	7.048143868	7.737475726	6.851579977	6.419830379	5.448715865	8.676935997	6.8213468	6.285013522	7.969260352	5.294434307	5.31572179	9.73435423	6.921770287	5.900712948	6.256755341	6.51516592	5.295997546
FBgn0033446	CG1648	CG1648	uncharacterized protein	LOSS	283.3487245	294.3698368	257.8240916	264.3337443	256.6567569	240.4378531	247.1133403	274.5454627	280.5425714	270.0205757	249.8209966	230.5225943	333.1014784	295.6984221	240.5373227	368.4392454	245.2371466	260.1551398	291.2458558	296.7863183	257.7902469	262.355997	273.3658917	233.3002811
FBgn0001108	CG9206	DCTN1-p150	"Dynactin 1, p150 subunit"	LOSS	20.25089943	22.04841648	19.99335178	20.61536245	20.763864	18.40781574	18.71667965	21.06645019	21.09861129	21.16190305	20.83233264	17.39446835	19.2936128	19.44087702	17.85436238	19.92970584	19.25012219	17.70794606	18.71472761	18.84011973	19.86520888	20.11099931	20.7197393	16.71022275
FBgn0035432	CG17723	ZnT63C	Zinc transporter 63C	LOSS	29.1361183	31.10908339	28.57814364	29.20628281	28.91720121	26.78623056	28.5856294	30.66020834	30.56180941	31.47064991	26.98172656	24.94899152	29.47634381	27.71528158	25.94404781	28.49442362	25.37057422	24.03291723	29.0081394	25.70616217	26.0525132	29.02041093	27.38532395	24.11891967
FBgn0051809	CG31809	CG31809	uncharacterized protein	LOSS	3.468818023	4.591085899	3.036207028	2.961655739	2.926820827	1.931794744	3.262176575	4.124742424	3.53023843	3.538578061	2.823324076	2.496777345	2.731000504	3.006341493	2.015892773	2.680838934	2.491333113	1.759421049	3.232161683	2.812567519	2.782094977	3.782220431	3.1331912	2.400259514
FBgn0034532	CG13436	CG13436	uncharacterized protein	LOSS	1.809465308	3.037956521	1.986719974	2.117551636	1.723629519	1.789125179	2.078896768	2.7868025	2.604784018	2.495007756	1.789611093	1.563272679	7.762370872	4.236998077	5.794716237	7.712720097	4.017377156	3.109651692	6.316625211	4.268547443	2.639348654	2.543864748	2.863744696	2.025942376
FBgn0262531	CG43085	CG43085	uncharacterized protein	LOSS	1.146651947	1.838963278	0.760097032	1.053197308	1.094184484	0.541647395	1.033971707	2.146497979	1.470601539	1.538870135	0.678530885	0.370620196	0.885667278	1.102299368	1.070956932	1.320003371	0.770796012	0.891152018	1.377502335	1.13705604	0.545284185	0.964072799	0.836668229	0.375626881
FBgn0030747	CG4301	CG4301	uncharacterized protein	LOSS	1.127989918	1.417368005	1.312604309	1.084100347	1.102140703	0.854624087	1.033235863	1.200115658	1.318548059	1.249936601	1.174020806	0.917073084	1.528296935	1.222335638	1.272700292	1.317961993	0.872078423	1.000995588	1.239251118	1.232426835	1.029703453	1.152587155	1.299370282	0.898887367
FBgn0265048	CG31150	cv-d	crossveinless d	LOSS	32.76947775	37.81194507	37.34989279	32.18987115	30.83518952	32.59635812	33.57240177	37.76680938	35.81567637	33.53558361	32.32294088	32.11323827	28.88911526	35.1148871	30.13385752	30.42861902	31.71647271	31.34239721	30.39275758	37.67974887	36.23925925	31.52699325	32.39132652	31.79399011
FBgn0001216	CG8937	Hsc70-1	Heat shock protein cognate 1	LOSS	7.980820497	10.02356157	8.674278789	6.987469642	7.729275614	7.626062362	7.977053386	10.36368395	8.854727128	7.927645555	7.176155384	7.75416174	13.62217153	10.62997479	11.281692	15.30537757	9.430730332	9.429497026	14.24041919	9.917264103	8.922034713	9.495627586	8.409685432	7.29559859
FBgn0053143	CG33143	CG33143	uncharacterized protein	LOSS	15.61070432	18.06735604	16.42908073	15.40728342	15.6728573	14.58608218	15.76150826	18.16161455	20.01109583	15.47972944	14.77612986	15.24744376	14.43189678	13.5242572	19.40896573	13.79221417	14.50486218	13.90562198	13.3610865	15.19278926	16.28666777	15.08112978	12.68351581	14.76894194
FBgn0034335	CG5164	GstE1	Glutathione S transferase E1	LOSS	36.27422691	46.94492419	50.37026746	26.34353272	26.90051236	33.61623272	37.45230629	47.33905828	45.74319948	36.743022	29.08421098	33.87510218	26.22430434	43.33210055	46.5516869	26.89879713	29.13967581	33.90291876	28.05026266	49.28734725	49.83958698	29.78458248	30.44883362	40.66899285
FBgn0050466	CG30466	CG30466	uncharacterized protein	LOSS	6.361637299	7.985150714	7.311513539	6.516559796	5.406243591	4.606725185	5.562177344	8.122355623	7.900573583	7.320742489	5.858860705	5.463699647	7.650320481	6.183419906	8.551885004	8.189226969	5.859103378	4.451468333	7.254480556	6.48872184	6.363894878	7.75997296	6.521708653	4.447311454
FBgn0030968	CG7322	CG7322	uncharacterized protein	LOSS	39.94430857	48.63240701	43.35209167	46.85645658	37.65969626	34.95365633	37.38539455	37.61685896	47.93636124	45.72287704	41.75412824	33.60339194	31.59237176	40.37956013	28.3354737	41.43379115	30.1309043	33.04860176	30.09944103	49.53441587	51.57932779	34.11771883	29.74472686	29.2773608
FBgn0034143	CG8303	CG8303	uncharacterized protein	LOSS	6.646579261	8.410496284	7.124257149	7.335506138	6.03144666	4.827146708	5.811089391	6.817755357	7.792733289	7.375781101	5.969223023	5.02882644	6.027926008	7.410695512	5.26300062	7.367115635	6.369070142	5.846563149	5.618616809	5.589426435	4.93252402	5.896599875	6.003716734	5.113096314
FBgn0038201	CG9918	PK1-R	Pyrokinin 1 receptor	LOSS	1.925438204	2.969427885	1.703851905	1.923787954	1.185452733	1.246621648	1.964216953	2.161864203	2.131072275	2.038661158	1.104850791	1.329891755	1.875270596	1.863059908	1.031366864	1.845861933	1.296486359	0.982489526	1.92818002	1.91616838	1.294832869	1.52008797	1.56953564	0.996026813
FBgn0030960	CG7053	Atg101	Autophagy-related 101	LOSS	36.83973558	42.38991992	39.74216226	37.30210284	39.02856245	37.26648936	38.03165051	40.02250506	41.2892325	38.7282828	37.10931694	35.50476926	34.24434524	38.90771534	37.50463838	35.60952878	39.82687372	32.98210393	38.24377565	37.37196881	35.55416638	40.03726589	38.98161647	33.79088663
FBgn0035589	CG4618	CHMP2B	Charged multivesicular body protein 2b	LOSS	27.14197962	34.57028058	28.59323237	29.56054319	26.19312086	26.51016787	25.41412222	29.74399522	32.62093669	32.660328	28.04239093	26.60369082	26.26055272	29.94697498	27.60358437	25.17166662	25.18482063	27.75543959	24.53154013	26.10145279	24.8965988	30.078485	28.54345036	27.21057969
FBgn0030468	CG1622	CG1622	uncharacterized protein	LOSS	10.29439047	11.10018249	11.56414212	10.7148249	10.57585026	9.72736077	9.355704342	11.7559866	13.12634829	11.29224299	10.76538298	9.909154001	10.70879455	10.58895073	13.00246059	10.07106342	11.2183515	11.76330541	9.718518103	9.855477007	11.95630036	11.76618523	9.99144341	10.70964315
FBgn0026323	CG18492	Tak1	TGF-beta activated kinase 1	LOSS	17.67775521	19.71665915	18.80318434	18.44243398	18.55901282	17.0018902	18.53915933	19.72858126	20.56928542	19.34458344	18.64263217	17.2277525	17.32627345	19.38303367	17.0742583	16.66046968	17.79153077	17.92011188	17.29413995	18.78687488	18.06552688	17.34693053	18.19759766	17.58682326
FBgn0000529	CG10604	bsh	brain-specific homeobox	LOSS	2.719593982	2.8746888	3.010634033	2.834202436	2.737075702	2.51991531	2.735305028	3.072154079	3.711512814	2.881456635	2.586405181	2.221981464	1.816142482	2.575952835	2.822292069	2.935072108	3.008830839	3.472354478	2.450338399	2.805578037	3.215258503	2.42375185	2.67891852	3.37799711
FBgn0038088	CG10126	CG10126	uncharacterized protein	LOSS	56.39870244	79.36970977	78.58896583	101.987671	72.65915001	53.0609955	52.05190375	75.70719259	76.03347705	94.89587363	75.35981134	53.59849316	56.62935141	58.33299171	56.28373273	88.91816845	59.97979777	42.58944496	49.92341414	57.94173997	52.62134875	74.08869889	64.2466668	44.82756038
FBgn0020372	CG11303	TM4SF	Transmembrane 4 superfamily	LOSS	52.6909158	58.00514686	63.01727375	54.60211521	55.69786348	61.49476363	55.8673753	63.84055592	55.2101017	52.28385102	56.00645426	56.51813276	52.47539185	60.98142584	77.64693304	53.09264004	54.77168855	62.51770739	55.1910538	59.89116261	62.19445877	64.38508479	58.50205715	63.55928216
FBgn0262035	CG42846	CG42846	uncharacterized protein	LOSS	39.50024268	44.20299787	54.92223962	49.9535419	37.8271483	36.92739474	38.61084733	45.24719575	44.82580156	55.50789015	44.76648189	35.27791707	33.17490038	46.35842546	34.5464312	45.06195314	41.77963803	35.20925147	34.58172308	58.49959522	44.40633915	49.10521896	44.24402468	36.48281634
FBgn0261555	CG42673	CG42673	uncharacterized protein	LOSS	8.630344494	9.928700262	10.93217569	9.70305165	9.578364775	9.156472454	8.808551071	10.15517102	9.974210393	10.19913319	9.80768811	8.928425049	8.705155597	9.565402012	11.53254891	9.323624664	9.408841213	9.704896468	8.49458895	9.294984365	9.936197109	9.745578968	9.599782606	9.561214172
FBgn0005677	CG4952	dac	dachshund	LOSS	8.011841676	8.847271725	9.049756155	8.148025865	8.106109921	7.253446924	8.180223913	8.773530807	9.155985252	8.077930206	7.729520163	7.484539219	8.20940709	8.896966995	10.43623502	8.262260495	8.205959277	8.16243912	7.682255346	8.063054163	8.639704309	8.366325151	7.873766806	8.342712993
FBgn0265464	CG10961	Traf6	TNF-receptor-associated factor 6	LOSS	9.813169102	11.31708363	11.44878434	10.27871347	9.75919693	9.894958191	10.19318259	11.24368094	10.81067686	10.24126325	10.17596991	10.46696306	9.158725134	11.05672828	10.61654562	9.44532063	9.922316806	9.669405798	8.779562051	11.22209372	9.864673787	10.19778779	10.86574846	10.23331756
FBgn0030691	CG8959	Efhc1.1	EF-hand domain containing 1.1	LOSS	0.591841525	1.15348578	0.822104792	0.944227304	0.765159489	0.330211645	0.760132535	1.242238956	1.318444431	1.170523728	0.466962685	0.556742952	3.165536594	1.783498738	1.733603105	3.179476662	2.171032764	1.00895741	2.636352652	1.48768021	1.045086589	0.521360322	1.033640004	0.554535269
FBgn0033785	CG13320	Sans	Scaffold protein containing ankyrin repeats and SAM domain	LOSS	0.5129193	1.151644719	1.123379524	0.862503315	0.770883123	0.469668328	0.821854071	1.066119251	0.873730702	1.090516633	0.607039629	0.43841051	0.970630897	0.933950667	0.987394807	1.125159479	0.824626976	0.67766982	1.044268175	1.056631299	0.986504804	0.482997942	0.602554843	0.686102381
FBgn0265050	CR44165	asRNA:CR44165	antisense RNA:CR44165	LOSS	0.795045782	1.428076934	1.564204239	1.179631084	0.796600136	1.011118079	1.351113746	1.544754634	1.281111749	1.022069158	0.97230066	1.558977114	1.182120798	1.919725073	2.079172692	1.210152263	1.402908324	1.143099536	1.583469934	0.605281859	1.44090397	1.347599628	1.299456725	1.276183924
FBgn0025697	CG12789	santa-maria	scavenger receptor acting in neural tissue and majority of rhodopsin is absent	LOSS	23.00945099	27.88558079	28.67580622	27.65927773	23.40641171	21.83764951	21.76443317	27.60345548	25.9819964	28.87629088	24.12046815	20.42648261	17.99621619	21.51158121	19.61760606	21.23086493	20.33180587	16.35354692	19.49699423	22.18986425	20.24320298	23.38732818	23.79184848	17.99714502
FBgn0016700	NA	NA	NA	LOSS	169.6132999	187.6586035	177.4987354	178.0866292	179.6772304	161.628996	164.3950424	172.1262147	186.0507219	191.6160676	177.115421	167.0997628	150.2562071	159.9851956	158.8801811	159.164065	154.1944523	148.6364717	157.9305865	164.4575363	152.1735821	180.7834657	171.1343178	148.2564667
FBgn0014009	CG3269	Rab2	Rab2	LOSS	95.25693361	112.8162958	108.6883702	106.7283396	107.4140679	98.48403483	103.5330142	113.0086136	110.7553391	112.0893363	103.8652961	100.1494762	93.81037469	101.8001721	97.5983876	91.26844959	97.10789744	96.5869843	103.9477923	105.8941069	96.72576325	108.1076774	102.4089975	94.36232149
FBgn0259239	CG42337	CG42337	uncharacterized protein	LOSS	7.884363287	9.375394801	9.796177208	8.169614015	8.262841867	7.881859372	8.153954178	9.078669897	9.629850685	8.550433927	7.719261866	8.14189063	7.025991719	8.714856414	11.16447494	7.585180496	8.348943049	7.982322454	7.631704115	8.169711528	8.522068182	8.648102857	8.041323196	8.595707212
FBgn0036585	CG13071	CG13071	uncharacterized protein	LOSS	17.1107042	18.56574799	23.2340296	18.59531663	15.79067043	22.56265727	20.00493346	22.88946925	15.96253432	15.80729045	18.91823619	22.07353541	2.840325436	4.277722351	4.906496235	2.620575049	3.089918155	2.012205418	3.188669	2.016512346	2.664716982	3.710125321	1.83989898	1.720901956
FBgn0039630	CG11843	CG11843	uncharacterized protein	LOSS	2.117207568	2.968012641	2.876833644	2.765976074	2.368170184	1.910227754	2.05600972	2.454852427	3.310449026	2.844230948	2.96273062	2.169173641	1.871874327	2.024019079	1.654086997	2.253341813	2.22433683	2.328461244	1.37907327	1.32384118	1.270670184	2.068933335	2.081169462	1.160307239
FBgn0046258	CG12880	CG12880	uncharacterized protein	LOSS	0.51589824	0.779242373	0.766036545	0.688907044	0.732284699	0.446151848	0.676331384	0.79257775	1.116320078	0.688719862	0.488452162	0.389079456	0.906534702	0.796426528	1.011867703	1.247173196	0.627119609	0.561322259	0.93616645	0.438969398	0.553361403	0.655834191	0.60605437	0.552069709
FBgn0039225	CG6892	Ets96B	Ets96B	LOSS	0.56260686	0.968355198	1.117619424	1.248372528	0.799854221	0.634288564	0.753069748	1.181763738	1.008074487	0.827010041	0.743826648	0.963289529	1.041364259	0.866728058	1.181906174	1.143619478	0.98977397	0.921760481	0.753748555	0.87162538	0.798616841	0.787521154	0.82324456	0.848453404
FBgn0033033	CG11066	scaf	scarface	LOSS	34.54604824	44.02514401	50.56263819	50.74043519	39.10760374	40.24480098	35.65791781	47.21198765	53.50940618	50.57314287	38.51361351	40.03160828	27.04831576	37.51584331	36.24892585	33.49620821	33.82166219	33.96630846	27.84403659	35.21394387	40.0235757	39.50736914	32.59396721	34.20464131
FBgn0000394	CG12410	cv	crossveinless	LOSS	27.08116466	30.212889	31.36020406	30.34176246	27.7977588	29.51402944	25.44333994	29.65638771	32.67078328	31.29835483	28.70842094	26.05949204	22.64512749	26.50734515	25.39468297	24.43922624	27.09856717	24.91224428	21.99179812	27.00525513	27.54965936	26.50977611	27.22656162	25.50204022
FBgn0000533	CG4920	ea	easter	LOSS	15.90125407	18.96480558	17.67271893	18.95678224	17.76493511	15.59230158	15.96981308	20.32634169	19.09003926	20.75504219	17.26663999	13.86644869	13.72358944	17.6038173	11.89983317	17.47446069	17.61435465	15.36680731	15.32171638	15.81833103	15.40752185	20.51721169	16.7338029	13.86627739
FBgn0022213	CG13281	Cse1	Chromosome segregation 1	LOSS	8.889690081	10.53596275	11.05971473	10.70417726	10.59825375	10.41119892	8.706016712	9.370375001	9.811442303	12.43257593	11.30093254	9.940897969	9.207585717	9.212399513	8.957551344	10.20274977	9.611296854	8.50412264	8.309920637	10.01696434	9.690983779	8.982239763	10.23738663	8.894622908
FBgn0031979	CG7429	CCDC53	Coiled-coil domain containing 53	LOSS	6.862155458	8.464948327	8.638787083	8.77975703	8.594464135	7.740564282	6.518939647	7.549525505	7.82950677	10.6213571	8.827561024	6.525367391	9.611574549	8.857497616	7.639901542	8.949040666	9.066904875	8.927166365	8.781314505	8.751663582	10.15236829	9.973723152	8.076594721	7.354688313
FBgn0031769	CG9135	CG9135	uncharacterized protein	LOSS	7.798255338	8.731873395	9.248414463	11.34007596	9.606209402	9.273612827	8.08425994	9.372071463	9.399918445	10.25537335	9.588810067	7.882440066	6.753427188	7.600849322	11.12383251	8.034140197	9.372239311	8.233009051	7.351157778	8.381568356	8.735385834	10.20438283	8.379950345	8.081817917
FBgn0037719	CG9424	bocks	bocksbeutel	LOSS	21.0699563	28.40289401	33.29446841	33.62325149	29.20588224	27.26575083	21.85177826	30.5175692	32.58871679	39.34236393	30.83761318	26.08412331	21.56796957	30.28706383	28.27665455	27.15798249	29.60363019	28.00091701	23.13044394	29.50479416	33.62100324	30.18084225	29.45666281	32.30766398
FBgn0037327	CG2087	PEK	pancreatic eIF-2alpha kinase	LOSS	12.92321385	14.726026	14.75287663	16.88865533	16.24001162	13.95415157	13.41617014	15.02211384	17.06912868	20.62176065	15.23528704	12.34999248	12.00683025	14.11225549	13.06579911	14.08443777	15.09640292	12.97334699	12.78841615	14.27780125	13.56463571	13.70820118	14.61474652	12.92809495
FBgn0033663	CG8983	ERp60	Endoplasmic reticulum p60	LOSS	111.8784289	133.9044668	132.3008489	142.4360251	143.7559799	125.1329071	121.2208913	134.3351043	139.3623927	159.4817945	154.1240697	128.0530038	125.0096857	138.657663	110.0258927	159.9165456	145.8174613	123.4059375	125.6704171	143.6977634	140.2008692	135.7507547	149.7770172	119.015846
FBgn0038129	CG8449	TBC1D5	TBC1 domain family member 5	LOSS	19.26401418	23.26559003	23.28407403	25.87230879	24.00390813	21.48661686	19.21887276	23.04702499	21.23120985	26.82402428	24.56166666	20.47343484	17.9480875	21.97522996	17.82171514	20.41864001	23.70305809	20.54084532	18.95524784	22.3510994	22.0458485	22.92338863	23.81252346	20.70167843
FBgn0030396	CG2556	CG2556	uncharacterized protein	LOSS	1.590350368	2.216043627	3.778315665	3.796408492	3.718072356	2.71832776	2.059175091	2.165403841	3.592577957	4.801885784	3.379556132	2.793288778	4.012699347	2.920975125	4.189829771	6.1893937	3.492251248	4.119948064	4.579905768	3.019779752	3.372460145	3.214797825	3.48744307	3.047131779
FBgn0029158	CG5231	Las	Lipoic acid synthase	LOSS	22.87991785	24.02623848	24.5951013	26.60897187	27.39311376	24.79897804	22.4950106	25.53247405	23.81961438	27.90367907	27.40122948	25.9414642	24.97852111	23.26861828	26.54665803	29.94817068	25.95261191	26.49288042	26.33206576	22.46876484	21.92629763	27.50951188	27.40719149	26.32817052
